region;slope;plot_id;ACW_Cstock;L_O_Cstock;Root_Cstock;NPProot;NPPLitter;NPPACW;root_allocation;litter_allocation;ACW_allocation;trees;wd; BA;NMDS1;NMDS2;richness;shannon;dbh;tree_height;CEC;ECEC;pH;clay;NH4;Bio_P;K;Ca;Mg;Base_ex;NO3;Ca_total_spec;K_total_spec;Mg_total_spec;TRB;P_total_spec;N_total_spec;CN;SOC
Felsic;PL;UPL1;133.2258222;5.126365347;7.440472091;2.793303783;4.64249989;4.833815127;22.76601929;37.83736044;39.39662027;418.75;0.518001449;40.02075212;1.583776126;0.052562134;24;2.572168702;28.25223881;16.075;25.30294003;25.49881196;6.12;33.6;176.9567898;14.22087732;0.844;20.21;3.262;24.316;9.534114534;0.35766;0.14364;0.30043;0.80173;0.039455171;0.50676;9.574808588;175.4736044
Felsic;V;UPL10;49.51591884;3.7797532;6.704200078;1.833235566;2.882995602;2.824685887;24.31051227;38.23136604;37.45812169;200;0.55360625;15.77970211;2.515430599;0.528990511;15;2.488411039;27.659375;18.2;17.91161464;14.37829428;5.68;24.88;86.01352305;10.74498615;0.639;10.419;2.516;13.574;7.108013706;0.42218;0.17442;0.36606;0.96266;0.091469415;0.33458;10.11058641;130.8888336
Felsic;V;UPL11;85.94241091;2.895072036;9.21136025;2.321192239;3.107794108;4.506129978;23.36351345;31.28090307;45.35558347;325;0.536807692;27.36182901;1.93448581;0.054688728;12;2.076264395;27.80576923;19.94545455;8.547391327;14.48640077;5.2;29.6;88.37076698;17.93113302;0.409;11.587;1.688;13.684;8.718216133;0.43067;0.1695;0.35265;0.95282;0.086812149;0.32561;9.498664046;107.1988566
Felsic;V;UPL12;143.9245927;6.216836291;7.555085073;2.596480406;3.269885414;4.128322003;25.97860435;32.71623358;41.30516206;293.75;0.524670213;42.44645703;2.234811149;0.230045366;17;2.453482219;35.61914894;19.43333333;29.56868976;28.7702234;5.72;25.6;86.52564638;24.07486784;0.486;22.455;4.269;27.21;1.054237211;0.40295;0.16861;0.32031;0.89187;0.033730862;0.26074;11.64926747;102.2840404
Felsic;PL;UPL2;122.9528747;5.448111561;6.731443192;1.670605428;2.90192993;4.297797188;18.83362793;32.71500719;48.45136488;518.75;0.534012791;36.59251489;2.263775123;0.030674696;16;1.922200722;26.64096386;16.47692308;18.40112497;18.83663602;5.5;33.6;110.2153903;38.52167694;0.614;14.79;2.587;17.991;31.24743662;0.37696;0.15867;0.30823;0.84386;0.034836511;0.40728;9.925824985;113.6167652
Felsic;PL;UPL3;134.9118606;3.903576939;11.77153051;1.106549777;3.456142993;6.193070633;10.2879706;32.13293993;57.57908947;543.75;0.578706742;38.61883214;2.489199471;-0.281986569;15;1.815754802;25.87356322;15.42222222;20.04341391;21.33740388;5.52;33.6;118.8681707;42.86326618;0.691;17.665;2.093;20.449;23.31754524;0.47653;0.18861;0.4103;1.07544;0.09574591;0.48731;9.833658246;226.5817977
Felsic;UP;UPL4;147.6348093;4.649051878;8.736720987;1.522796637;3.633052338;5.883732247;13.79397104;32.90933111;53.29669784;387.5;0.555966667;39.44050302;1.521160294;0.270696912;15;2.023155255;28.75322581;16.38571429;19.71495612;17.32785733;5.25;43.6;132.0240704;20.07429633;0.716;12.934;2.832;16.482;2.651212765;0.25443;0.11315;0.21331;0.58089;0.035442619;0.31762;9.411120207;104.9050791
Felsic;UP;UPL5;112.6026041;4.617965132;6.307108479;1.410747411;2.707505279;5.392325554;14.8334557;28.46835607;56.69818822;300;0.513904167;34.98784703;1.730860362;-0.088371665;16;2.408599629;32.51041667;17.63333333;20.04341391;16.05910751;5.36;38.88;155.0684907;9.287041006;0.665;11.647;2.859;15.171;6.587375357;0.29817;0.1252;0.24624;0.66961;0.031635493;0.35409;9.34590076;118.9771817
Felsic;UP;UPL6;147.3490578;4.144754918;7.696878512;1.75789014;3.300846859;5.842383889;16.1257742;30.27988491;53.59434088;475;0.519290789;48.58364136;2.004758181;0.244338675;18;2.393244211;30.01710526;14.90588235;15.85638022;17.45034486;6.22;33.6;109.6721376;4.871060648;0.614;13.872;2.161;16.647;1.466721524;0.25917;0.11241;0.1904;0.56198;;0.23021;8.980800139;98.93191727
Felsic;MS;UPL7;114.7397643;3.254551269;15.65711476;2.827050278;3.2684081;6.660046481;22.16337424;25.62351029;52.21311547;537.5;0.611977011;32.2540086;1.730746951;-0.533484225;19;2.241569041;24.18953488;15.88;13.47425815;15.56614658;4.74;34.88;66.85558703;10.21574511;0.307;11.407;3.007;14.721;115.19926;0.27108;0.13307;0.23815;0.6423;0.073532295;0.31462;10.86977942;136.7331946
Felsic;MS;UPL8;155.4662847;3.84536861;9.857468711;2.650309393;3.569790573;6.573139467;20.71648394;27.90372674;51.37978931;712.5;0.577521053;46.83309766;2.157648852;-0.48759452;23;2.550042302;24.48947368;14.11818182;18.89812717;12.12780961;4.53;30.32;58.84855489;27.93256179;0.435;9.461;1.428;11.324;10.87571899;0.19434;0.10386;0.18747;0.48567;0.032795147;0.37364;11.00645006;171.3505668
