region;slope;plot_id;plotID;CWM_N;CWM_CN ;RGR;wd;ACW_Cstock;L_O_Cstock;Root_Cstock;NPProot;NPPLitter;NPPACW;totalNPP;root_allocation;root_allocation;litter_allocation;ACW_allocation;ACW_allocation2;Trees; BA;NMDS1;NMDS2;richness;shannon;dbh;Tree_height;CEC;ECEC;pH;clay;silt ;sand;NH4;Bio_P;K_ex;Ca_ex;Mg_ex;Base_ex;NO3;Total_Ca;Total_K;Total_Mg;TRB;Total_P;Total_N;CN;SOC;MAP;MAT
Felsic;PL;UPL1;UPL1;2.762416846;17.57119377;3.7932287;0.518001449;133.2258222;5.126365347;7.440472091;2.793303783;4.64249989;4.833815127;12.2696188;0.227660193;22.7660193;0.378373604;0.393966203;39.3966203;418.75;40.02075212;1.583776126;0.052562134;24;2.572168702;28.25223881;16.075;25.30294003;25.49881196;6.12;33.6;16.72;58.4;176.9567898;14.22087732;0.844;20.21;3.262;24.316;9.534114534;0.35766;0.14364;0.30043;0.80173;0.039455171;0.50676;9.574808588;175.4736044;1702;19.2
Felsic;V;UPL10;UPL10;2.436939459;17.71231464;6.1272942;0.55360625;49.51591884;3.7797532;6.704200078;1.833235566;2.882995602;2.824685887;7.540917055;0.243105123;24.3105123;0.38231366;0.374581217;37.4581217;200;15.77970211;2.515430599;0.528990511;15;2.488411039;27.659375;18.2;17.91161464;14.37829428;5.68;24.88;14;56.4;86.01352305;10.74498615;0.639;10.419;2.516;13.574;7.108013706;0.42218;0.17442;0.36606;0.96266;0.091469415;0.33458;10.11058641;130.8888336;1702;19.2
Felsic;V;UPL11;UPL11;2.738659354;17.79232093;5.5973795;0.536807692;85.94241091;2.895072036;9.21136025;2.321192239;3.107794108;4.506129978;9.935116325;0.233635135;23.3635135;0.312809031;0.453555835;45.3555835;325;27.36182901;1.93448581;0.054688728;12;2.076264395;27.80576923;19.94545455;8.547391327;14.48640077;5.2;29.6;12;62.4;88.37076698;17.93113302;0.409;11.587;1.688;13.684;8.718216133;0.43067;0.1695;0.35265;0.95282;0.086812149;0.32561;9.498664046;107.1988566;1702;19.2
Felsic;V;UPL12;UPL12;2.40179103;19.98785985;2.9701698;0.524670213;143.9245927;6.216836291;7.555085073;2.596480406;3.269885414;4.128322003;9.994687823;0.259786044;25.9786044;0.327162336;0.413051621;41.3051621;293.75;42.44645703;2.234811149;0.230045366;17;2.453482219;35.61914894;19.43333333;29.56868976;28.7702234;5.72;25.6;12;54.4;86.52564638;24.07486784;0.486;22.455;4.269;27.21;1.054237211;0.40295;0.16861;0.32031;0.89187;0.033730862;0.26074;11.64926747;102.2840404;1702;19.2
Felsic;PL;UPL2;UPL2;2.964902979;16.47513773;3.6482275;0.534012791;122.9528747;5.448111561;6.731443192;1.670605428;2.90192993;4.297797188;8.870332546;0.188336279;18.8336279;0.327150072;0.484513649;48.4513649;518.75;36.59251489;2.263775123;0.030674696;16;1.922200722;26.64096386;16.47692308;18.40112497;18.83663602;5.5;33.6;10;56.4;110.2153903;38.52167694;0.614;14.79;2.587;17.991;31.24743662;0.37696;0.15867;0.30823;0.84386;0.034836511;0.40728;9.925824985;113.6167652;1702;19.2
Felsic;PL;UPL3;UPL3;2.142356778;20.93852696;4.8588682;0.578706742;134.9118606;3.903576939;11.77153051;1.106549777;3.456142993;6.193070633;10.7557634;0.102879706;10.2879706;0.321329399;0.575790895;57.5790895;543.75;38.61883214;2.489199471;-0.281986569;15;1.815754802;25.87356322;15.42222222;20.04341391;21.33740388;5.52;33.6;10;56.4;118.8681707;42.86326618;0.691;17.665;2.093;20.449;23.31754524;0.47653;0.18861;0.4103;1.07544;0.09574591;0.48731;9.833658246;226.5817977;1702;19.2
Felsic;UP;UPL4;UPL4;2.790628014;19.35534409;4.1855432;0.555966667;147.6348093;4.649051878;8.736720987;1.522796637;3.633052338;5.883732247;11.03958122;0.13793971;13.793971;0.329093311;0.532966978;53.2966978;387.5;39.44050302;1.521160294;0.270696912;15;2.023155255;28.75322581;16.38571429;19.71495612;17.32785733;5.25;43.6;12;44.4;132.0240704;20.07429633;0.716;12.934;2.832;16.482;2.651212765;0.25443;0.11315;0.21331;0.58089;0.035442619;0.31762;9.411120207;104.9050791;1702;19.2
Felsic;UP;UPL5;UPL5;3.077683227;20.85195832;5.0819269;0.513904167;112.6026041;4.617965132;6.307108479;1.410747411;2.707505279;5.392325554;9.510578244;0.148334557;14.8334557;0.284683561;0.566981882;56.6981882;300;34.98784703;1.730860362;-0.088371665;16;2.408599629;32.51041667;17.63333333;20.04341391;16.05910751;5.36;38.88;12.72;48.4;155.0684907;9.287041006;0.665;11.647;2.859;15.171;6.587375357;0.29817;0.1252;0.24624;0.66961;0.031635493;0.35409;9.34590076;118.9771817;1702;19.2
Felsic;UP;UPL6;UPL6;2.556634634;18.64700845;4.1631038;0.519290789;147.3490578;4.144754918;7.696878512;1.75789014;3.300846859;5.842383889;10.90112089;0.161257742;16.1257742;0.302798849;0.535943409;53.5943409;475;48.58364136;2.004758181;0.244338675;18;2.393244211;30.01710526;14.90588235;15.85638022;17.45034486;6.22;33.6;10;56.4;109.6721376;4.871060648;0.614;13.872;2.161;16.647;1.466721524;0.25917;0.11241;0.1904;0.56198;0.035442619;0.23021;8.980800139;98.93191727;1702;19.2
Felsic;MS;UPL7;UPL7;2.989255859;15.79596726;6.2428809;0.611977011;114.7397643;3.254551269;15.65711476;2.827050278;3.2684081;6.660046481;12.75550486;0.221633742;22.1633742;0.256235103;0.522131155;52.2131155;537.5;32.2540086;1.730746951;-0.533484225;19;2.241569041;24.18953488;15.88;13.47425815;15.56614658;4.74;34.88;12.72;52.4;66.85558703;10.21574511;0.307;11.407;3.007;14.721;115.19926;0.27108;0.13307;0.23815;0.6423;0.073532295;0.31462;10.86977942;136.7331946;1702;19.2
