,C,N,P_total,P,CN,NP,CP,CEC,Bases_in_CEC,ECEC,Bases_in_ECEC,Mg_ex,Ca_ex,K_ex,base_ex,pH_KCL,Ca_soil,K_soil,Mg_soil,Na_soil,TRB_soil,clay,silt,sand,TPI,TWI,LS_factor,CTI,SPI,aspect,curvature,slope_per
N_canopy,,0.4,,0.6,-0.7,,-0.6,0.6,,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.6,0.6,,,,,0.4,,,-0.5,,0.5
C_canopy,,,,,0.5,,,,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,,,,,,-0.4,,,,,
P_canopy,,0.4,,0.6,-0.6,,-0.6,0.5,,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.7,0.6,0.6,-0.4,,,,,,,,,0.4
CN,,-0.4,,-0.5,0.7,,0.6,-0.5,,-0.6,-0.6,-0.6,-0.5,-0.6,-0.5,-0.5,-0.5,-0.5,-0.7,-0.6,-0.6,-0.6,,,,,-0.4,,,0.5,,-0.6
CP_canopy,,-0.5,,-0.5,0.6,,0.5,-0.6,,-0.5,-0.4,-0.5,-0.4,-0.5,-0.5,-0.4,-0.4,-0.4,-0.6,-0.6,-0.6,-0.6,0.4,,,0.4,,,,0.4,,-0.4
NP_canopy,,-0.4,,-0.5,0.4,,0.5,-0.4,,-0.3,,-0.3,-0.2,-0.3,-0.3,,-0.3,,-0.4,-0.5,-0.4,-0.5,0.4,,,,,,,,,
K_canopy,,,,,-0.6,,-0.5,0.3,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.5,,,,,,,,,,0.4
Mg_canopy,,,,0.4,-0.6,,-0.5,0.4,,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.6,0.7,0.5,0.5,,,,,,,,,,0.4
Ca_canopy,-0.5,,0.6,,-0.8,,-0.4,,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.8,0.7,0.5,0.8,,,-0.4,,,,,,,,
Na_canopy,-0.6,,0.4,,-0.8,,-0.4,,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.6,0.4,0.8,,,-0.6,,,,,,,,
