variable;C_canopy;N_canopy;P_canopy;C:N_canopy;C:P_canopy;N:P_canopy;Ca_canopy;K_canopy;Mg_canopy;Na_canopy
clay;;0.6;0.5;-0.6;-0.6;-0.4;;0.5;0.5;
silt;;;;;;0.4;;;-0.4;
sand;0.4;-0.4;;0.5;0.4;;-0.4;-0.4;;-0.4
CEC;;0.5;0.6;-0.5;-0.5;-0.5;;;0.5;
ECEC;-0.5;0.5;0.5;-0.5;-0.5;;0.8;0.5;0.4;0.6
pH_KCL;-0.4;;;-0.4;-0.4;;0.9;0.5;;0.8
exch_Ca;-0.4;0.4;0.4;-0.4;-0.4;;0.9;0.5;;0.8
exch_K;-0.5;0.5;0.5;-0.6;-0.5;;0.9;0.5;0.4;0.7
exch_Mg;-0.4;0.6;0.6;-0.6;-0.5;;0.9;0.6;0.5;0.7
exch_base;-0.4;0.4;0.4;-0.5;-0.4;;0.9;0.5;;0.8
exch_Al;;;;;;;-0.8;-0.4;;-0.7
base_CEC_pot;;;;;;;0.8;0.4;;0.8
base_CEC_eff;-0.4;0.5;0.4;-0.5;-0.5;;0.9;0.5;0.4;0.8
total_C;;;;;;;-0.5;;;-0.6
total_N;;0.4;0.4;-0.4;-0.4;-0.4;;;;
Bio-P;;;;;;;0.6;0.4;;
total_Ca;-0.4;0.4;0.4;-0.5;-0.4;;0.9;0.4;;0.7
total_K;-0.4;;0.4;-0.4;-0.4;;0.8;0.4;;0.7
total_Mg;-0.4;0.6;0.6;-0.7;-0.6;;0.7;0.5;0.5;0.4
total_Na;;0.7;0.8;-0.7;-0.6;-0.5;0.5;0.6;0.8;
TRB;-0.4;0.5;0.5;-0.6;-0.5;;0.8;0.5;0.4;0.6
total_P;;0.4;0.6;-0.4;-0.5;-0.5;;;0.4;
