plotID,region_x,slope_x,N_canopy,C_canopy,P_canopy,CN,CP_canopy,NP_canopy,K_canopy,Mg_canopy,Ca_canopy,Na_canopy,Fe_canopy,Al_canopy,Mn_canopy,Si_canopy,meanWD,predHeight18,DBH18,C_g_kg,TC_bulk,N_g_kg,TN_bulk,CN_soil,P_avail,clay,silt,sand,pH_KCL,bases_in_CEC,CEC,bases_in_ECEC,ECEC,exch_bases_Mg,exch_bases_Ca,exch_bases_K,exch_base,exch_acidity_Al,Ca_soil,K_soil,Mg_soil,Na_soil,TRB_soil,P_soil,P_g_kg,NP_soil,CP_soil,RC1,RC2,RC3,plotID,lat,long,TPI,TWI,LS_FACTOR,CTI,SPI,aspect,curvature,slope_degr,slope_per
KBPL1,Mafic,PL,3.000025355,46.43163925,2028.662678,15.86454744,236.9024163,14.93693848,9145.579732,2615.660028,10056.99218,70.92421861,710.748905,375.5568167,1999.653598,1173.018908,0.462915476,21.62080124,82.58840316,36.68416667,3.668416667,3.4667,0.34667,10.58186941,0,54.22441333,31.47189,12.62043667,3.705613333,9.83495,31.77082333,34.24001667,9.39498,1.06732,2.61373,0.203016667,3.884066667,3.760183333,0.07351,0.067103333,0.194336667,0.019746667,0.354696667,0.135288219,1.35288219,2.562455198,27.11556626,-7.126028292,1.757189931,2.34311129,KBPL1,-2.30501,28.75427,1.96558,4.95502,0,-32.5676003,-1.46517,153.6600037,0.198216,11.9203997,21.1105003
KBPL10,Mafic,V,3.38575743,45.51394141,2926.664465,13.58058422,159.3181176,11.84570803,17117.63207,3696.900112,12319.76865,63.3009904,154.9280815,89.02403258,42.56052813,249.3201835,0.391329146,17.44786423,41.42676297,47.3885,4.73885,5.22553333,0.522553333,9.068643717,41.62938333,48.14243333,37.86238667,13.72954333,5.298873333,60.95260667,36.67698667,97.23629667,22.08540667,3.497646667,15.28979333,0.616953333,19.40439333,0.068226667,0.383063333,0.157863333,0.415023333,0.043583333,0.999533332,0.212196981,2.12196981,2.462586086,22.33231584,21.10785233,6.519251711,2.103001584,KBPL10,-2.31439,28.75246,-1.49023,7.1470699,5.5894899,11.2982998,0.22932,205.220993,-0.272398,8.0520201,14.1466999
KBPL11,Mafic,V,2.804914882,46.26112496,2833.703826,18.0786302,174.6853037,9.872929593,15504.38836,3143.739935,11207.06617,38.32023474,213.8514501,213.814111,84.19544453,386.3517111,0.560832197,13.13450771,23.21377954,64.7109,6.47109,6.15006667,0.615006667,10.5219835,54.27921333,25.15492667,58.44451,18.08319667,4.154736667,10.05139333,48.74031667,57.64534333,13.56413,2.387093333,6.961213333,0.41178,9.760086666,2.04284,0.314276667,0.15881,0.473423333,0.0257,0.97221,0.372383573,3.72383573,1.651540808,17.37748512,9.081920923,11.27105407,-1.079809602,KBPL11,-2.32866,28.72988,0.210693,6.4511199,1.68374,0.0104582,0.0000955,258.6889954,0.148581,5.40272,9.4575701
KBPL12,Mafic,V,2.547138963,48.49337813,1630.31615,22.34037409,401.1524477,17.14561082,10967.19156,3007.433435,6852.106922,36.3579759,193.3725922,182.0283402,542.7290057,377.1633948,0.51362439,18.0469043,50.68664672,65.11186667,6.511186667,5.70036667,0.570036667,11.42239972,35.96613667,28.83673667,55.56960333,18.21859333,3.49083,0.473766667,43.95336667,32.57465333,10.87296667,1.39821,3.018936667,0.25844,4.675586667,4.20975,0.149696667,0.102143333,0.305856667,0.01365,0.571346667,0.25291658,2.5291658,2.253852503,25.74440421,-3.557785027,7.953500649,-1.480711642,KBPL12,-2.32768,28.72956,-3.72803,7.6916199,2.63184,19.3780003,0.133705,227.7480011,-0.681158,4.6914701,8.2065001
KBPL13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KBPL13,-2.31379,28.75295,5.3066401,5.4843302,0,-55.1110001,-0.865835,188.7940063,0.544932,7.0879202,12.4342003
KBPL14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KBPL14,-2.31249,28.7526,3.1110799,6.4876099,0,-148.2559967,-0.321857,184.6699982,0.482969,2.6105101,4.55935
KBPL15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KBPL15,-2.311588,28.75269,2.8354499,5.8101702,4.0648499,0.0055367,0.0001805,6.0792098,0.284888,10.1780005,17.9531002
KBPL16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KBPL16,-2.311534,28.752936,5.0151401,5.02951,0,-35.0735016,-1.36049,12.8526001,0.631577,11.0867004,19.5951004
KBPL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KBPL2,-2.29873,28.76129,5.2722201,5.8851099,0,-81.9570999,-0.58222,277.6799927,0.59454,4.76089,8.3284998
KBPL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KBPL3,-2.29844,28.76112,5.5170898,5.5188899,0,-57.0327988,-0.83666,312.4970093,0.65634,6.8494902,12.0118999
KBPL4,Mafic,UP,3.097018828,46.86242801,1779.991366,15.67731809,299.2693724,18.63375309,12740.34943,3418.260207,5555.784167,32.7792035,484.4500379,329.5761231,1589.682428,948.6766823,0.454161201,15.3763513,31.3767311,45.84983333,4.584983333,4.12953333,0.412953333,11.10290913,0,53.65293333,33.69557333,12.72477333,3.43753,1.172953333,35.03142667,24.11414,8.608213333,0.822183333,1.286436667,0.16185,2.27047,4.732593333,0.036253333,0.05896,0.18143,0.01825,0.294893333,0.137902154,1.37902154,2.994538671,33.24809077,-10.46621322,3.102760073,1.997209,KBPL4,-2.30532,28.75442,5.5478501,5.3304601,7.6878099,0.0034343,0.0002909,142.0119934,0.792675,16.1749001,29.0051994
KBPL5,Mafic,UP,3.779311247,46.69151764,2781.108025,12.44686256,175.8128823,14.05037368,24734.61425,4344.480556,7010.72113,41.10882627,497.6982078,457.1253399,877.5190896,433.7394732,0.452452349,14.05254501,25.33408355,36.97573333,3.697573333,3.55486667,0.355486667,10.40144027,8.05505,58.31250333,28.91700667,12.07328667,3.67304,9.14507,35.44356333,34.76486333,8.904996667,1.385126667,2.558983333,0.235146667,4.179256667,3.76966,0.0923,0.073016667,0.240823333,0.030546667,0.436686667,0.148340437,1.48340437,2.396424564,24.92626696,-5.136232313,2.987635439,3.422367536,KBPL5,-2.30411,28.75482,1.40625,5.9983001,12.3257999,3.68174,0.328019,106.8529968,0.198162,16.5669994,29.7486
KBPL6,Mafic,UP,3.153114191,45.6493925,2161.889391,15.6385754,245.8992426,15.31840802,10539.10107,5608.899946,9281.973162,73.04528458,410.0819632,246.5394368,494.2443498,1845.311376,0.437731057,14.57227444,29.59342861,40.88546667,4.088546667,4.35226667,0.435226667,9.394062857,20.38002667,47.36954333,35.61100667,14.09224333,4.61297,42.25894333,33.48992333,72.92819667,16.19327333,2.618886667,9.711626667,0.457543333,12.78805667,1.224626667,0.282973333,0.133473333,0.34646,0.036453333,0.799359999,0.192518058,1.92518058,2.260705679,21.23721125,10.48665724,4.488428808,2.206447856,KBPL6,-2.31398,28.7524,-0.865967,7.1959901,5.2261801,11.8606005,0.218448,196.1889954,-0.0866721,7.6722798,13.4713001
