plotID,region,slope,N_canopy,C_canopy,P_canopy,CN,CP_canopy,NP_canopy,K_canopy,Mg_canopy,Ca_canopy,Na_canopy,Fe_canopy,Al_canopy,Mn_canopy,Si_canopy,C_g_kg,TC_bulk,N_g_kg,TN_bulk,P_avail,P_g_kg,CN_soil,NP_soil,CP_soil,CEC,bases_in_CEC,ECEC,bases_in_ECEC,exch_bases_Mg,exch_bases_Ca,exch_bases_K,exch_base,exch_acidity_Al,pH_KCL,Ca_soil,K_soil,Mg_soil,Na_soil,TRB_soil,clay,silt,sand,TPI,TWI,LS_factor,CTI,SPI,aspect,curvature,slope_per
KBPL1,Mafic,PL,3.000025355,46.43163925,2028.662678,15.86454744,236.9024163,14.93693848,9145.579732,2615.660028,10056.99218,70.92421861,710.748905,375.5568167,1999.653598,1173.018908,36.68416667,3.668416667,3.4667,0.34667,0,1.35288219,10.58186941,2.562455198,27.11556626,31.77082333,9.83495,9.39498,34.24001667,1.06732,2.61373,0.203016667,3.884066667,3.760183333,3.705613333,0.07351,0.067103333,0.194336667,0.019746667,0.354696667,54.22441333,31.47189,12.62043667,1.96558,4.95502,0,-32.5676003,-1.46517,153.6600037,0.198216,21.1105003
KBPL10,Mafic,V,3.38575743,45.51394141,2926.664465,13.58058422,159.3181176,11.84570803,17117.63207,3696.900112,12319.76865,63.3009904,154.9280815,89.02403258,42.56052813,249.3201835,47.3885,4.73885,5.22553333,0.522553333,41.62938333,2.12196981,9.068643717,2.462586086,22.33231584,36.67698667,60.95260667,22.08540667,97.23629667,3.497646667,15.28979333,0.616953333,19.40439333,0.068226667,5.298873333,0.383063333,0.157863333,0.415023333,0.043583333,0.999533332,48.14243333,37.86238667,13.72954333,-1.49023,7.1470699,5.5894899,11.2982998,0.22932,205.220993,-0.272398,14.1466999
KBPL11,Mafic,V,2.804914882,46.26112496,2833.703826,18.0786302,174.6853037,9.872929593,15504.38836,3143.739935,11207.06617,38.32023474,213.8514501,213.814111,84.19544453,386.3517111,64.7109,6.47109,6.15006667,0.615006667,54.27921333,3.72383573,10.5219835,1.651540808,17.37748512,48.74031667,10.05139333,13.56413,57.64534333,2.387093333,6.961213333,0.41178,9.760086666,2.04284,4.154736667,0.314276667,0.15881,0.473423333,0.0257,0.97221,25.15492667,58.44451,18.08319667,0.210693,6.4511199,1.68374,0.0104582,0.0000955,258.6889954,0.148581,9.4575701
KBPL12,Mafic,V,2.547138963,48.49337813,1630.31615,22.34037409,401.1524477,17.14561082,10967.19156,3007.433435,6852.106922,36.3579759,193.3725922,182.0283402,542.7290057,377.1633948,65.11186667,6.511186667,5.70036667,0.570036667,35.96613667,2.5291658,11.42239972,2.253852503,25.74440421,43.95336667,0.473766667,10.87296667,32.57465333,1.39821,3.018936667,0.25844,4.675586667,4.20975,3.49083,0.149696667,0.102143333,0.305856667,0.01365,0.571346667,28.83673667,55.56960333,18.21859333,-3.72803,7.6916199,2.63184,19.3780003,0.133705,227.7480011,-0.681158,8.2065001
KBPL4,Mafic,UP,3.097018828,46.86242801,1779.991366,15.67731809,299.2693724,18.63375309,12740.34943,3418.260207,5555.784167,32.7792035,484.4500379,329.5761231,1589.682428,948.6766823,45.84983333,4.584983333,4.12953333,0.412953333,0,1.37902154,11.10290913,2.994538671,33.24809077,35.03142667,1.172953333,8.608213333,24.11414,0.822183333,1.286436667,0.16185,2.27047,4.732593333,3.43753,0.036253333,0.05896,0.18143,0.01825,0.294893333,53.65293333,33.69557333,12.72477333,5.5478501,5.3304601,7.6878099,0.0034343,0.0002909,142.0119934,0.792675,29.0051994
KBPL5,Mafic,UP,3.779311247,46.69151764,2781.108025,12.44686256,175.8128823,14.05037368,24734.61425,4344.480556,7010.72113,41.10882627,497.6982078,457.1253399,877.5190896,433.7394732,36.97573333,3.697573333,3.55486667,0.355486667,8.05505,1.48340437,10.40144027,2.396424564,24.92626696,35.44356333,9.14507,8.904996667,34.76486333,1.385126667,2.558983333,0.235146667,4.179256667,3.76966,3.67304,0.0923,0.073016667,0.240823333,0.030546667,0.436686667,58.31250333,28.91700667,12.07328667,1.40625,5.9983001,12.3257999,3.68174,0.328019,106.8529968,0.198162,29.7486
KBPL6,Mafic,UP,3.153114191,45.6493925,2161.889391,15.6385754,245.8992426,15.31840802,10539.10107,5608.899946,9281.973162,73.04528458,410.0819632,246.5394368,494.2443498,1845.311376,40.88546667,4.088546667,4.35226667,0.435226667,20.38002667,1.92518058,9.394062857,2.260705679,21.23721125,33.48992333,42.25894333,16.19327333,72.92819667,2.618886667,9.711626667,0.457543333,12.78805667,1.224626667,4.61297,0.282973333,0.133473333,0.34646,0.036453333,0.799359999,47.36954333,35.61100667,14.09224333,-0.865967,7.1959901,5.2261801,11.8606005,0.218448,196.1889954,-0.0866721,13.4713001
KBPL7,Mafic,MS,3.610410531,46.01013762,2999.573172,12.90463062,156.0815516,12.1580425,22886.19649,5608.827438,9811.213924,65.22262566,294.6116569,151.4444756,83.57370945,318.0749691,30.81963333,3.081963333,2.9052,0.29052,73.27644,1.8632655,10.60843774,1.559198085,16.54065582,39.57990333,33.92459,14.25771333,76.74103,3.118993333,8.404723333,0.499286667,12.02300333,0.741083333,4.578273333,0.268193333,0.12203,0.368846667,0.065176667,0.824246667,56.26819333,24.33709,15.69802,-0.126465,5.1908898,9.1866903,0.0029882,0.0003343,126.5189972,-0.123817,33.3493996
KBPL8,Mafic,MS,3.705045198,46.22614193,2091.845916,12.65880531,229.779779,18.03611065,18112.81579,4345.220463,7498.181891,35.01944522,235.8085055,387.3974172,1433.465011,442.2779162,48.8736,4.88736,4.57213333,0.457213333,2.661273333,1.40371639,10.68945205,3.257163172,34.81728955,37.47696,8.614216667,10.29872333,37.22522333,1.349566667,3.294356667,0.231783333,4.875706667,3.987126667,3.6476,0.076876667,0.06789,0.217066667,0.024153333,0.385986667,54.21274333,33.44451,12.4877,4.8427701,6.0112801,18.0272007,3.7671499,0.510334,126.7829971,0.569668,36.7061996
KBPL9,Mafic,MS,3.441542999,46.50875732,2085.732289,13.93256346,249.5815668,17.48866369,12088.56282,3726.77057,7138.471524,46.72692709,225.7749284,188.4562785,376.833434,774.0722729,34.80753333,3.480753333,3.38386667,0.338386667,2.939053333,1.08664797,10.28631939,3.114041312,32.03202352,35.98299333,20.04397667,10.35254667,46.29854,2.061793333,3.948136667,0.33254,6.34247,3.16876,3.828613333,0.128903333,0.075516667,0.254976667,0.03376,0.493156667,57.23592667,27.66851667,14.48937,-0.498291,5.9295802,19.9186993,3.4723599,0.553659,105.1849976,-0.309679,39.8308983
UPL1,Felsic,PL,2.582180592,50.03749115,1862.416015,20.54755805,299.0341602,15.35410032,20290.19728,2346.321715,11884.79917,100.9137095,275.2494475,156.7799658,92.59487109,610.992289,29.25236667,2.925236667,3.01236667,0.301236667,29.54629,0.32441898,9.710758973,9.285420569,90.16848111,18.20822,84.28550667,18.36141,93.05210333,2.64913,14.96982,0.51553,18.13448,0.063466667,5.825413333,0.277843333,0.1187,0.231176667,0.019796667,0.647516667,44.26861333,51.32385,6.838393333,1.51721,5.93817,0,-86.3679962,-0.552486,195.6679993,0.161017,7.8980498
UPL10,Felsic,V,2.648232759,53.27513257,932.9499731,19.98913925,649.6222188,31.76648497,11074.9188,2125.701862,11162.98831,138.3150225,168.4240376,135.0805978,91.52807125,812.8252691,19.1783,1.91783,1.84563333,0.184563333,31.02066667,1.33060164,10.39117559,1.387066778,14.41325444,17.40541667,82.09851333,12.55755,97.44921,2.878023333,9.590353333,0.540546667,13.00892333,0.163356667,5.100693333,0.396913333,0.17086,0.350323333,0.02755,0.945646666,30.99515,61.65630667,11.00149667,-4.8582802,9.0704803,11.1879997,27.3750992,0.476306,247.0679932,-0.594472,13.0906
