plotID;treeID;Species;N;C;CN;N_mass;C_mass;P;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si
KBPL1;1008;Neoboutonia Macrocalyx ;4.15;50.18;12.09;41500;501800;2196.8;18.89111435;228.423161;17685.58;4106.51;8703.87;213.01;75.94;40.75;61.13;407.5
KBPL1;1015;Neoboutonia Macrocalyx;3.9;47.73;12.24;39000;477300;3191.47;12.22007414;149.5549073;16294.75;2954.51;6360.6;147.6;818.29;316.26;142.96;498.6
KBPL1;1017;Neoboutonia Macrocalyx;3.61;47.84;13.25;36100;478400;2526.85;14.28656232;189.326632;13736.11;3834.16;7767.3;61.63;719.02;420.21;253.99;588.29
KBPL1;1023;Allophylus Kivuensis;3.75;48.13;12.84;37500;481300;3455.39;10.85260998;139.2896316;10526.61;3033.72;5698.03;29.85;848.92;466.44;722.05;615.7
KBPL1;1024;Allophylus Kivuensis;4.52;46.49;10.28;45200;464900;3446.51;13.11471605;134.8900772;28754.37;3510.83;5899.93;37.83;1034.71;389.67;875.82;552.35
KBPL1;1041;Agauria Salicifolia;2.66;46.02;17.31;26600;460200;1786.19;14.89203276;257.6433638;4807.34;1771.47;11244.82;67.98;692.04;303.21;2219.33;1481.44
KBPL1;1062;Dombeya Goetzenii;3.45;44.7;12.96;34500;447000;2211.67;15.59907219;202.109718;23499.9;7070.11;10074.1;41.8;976.63;1058.33;3988.22;478.81
KBPL1;1063;Dombeya Goetzenii;3.49;46.47;13.32;34900;464700;2080.06;16.77836216;223.4070171;21529.58;5538.93;6878.77;35.6;792.06;780.56;2828.68;421.95
KBPL1;1075;Allophylus Kivuensis;3.56;49.2;13.84;35600;492000;2515.35;14.15309997;195.599022;11940.06;2291.33;4745.76;27.51;905.92;334.07;548.27;495.21
KBPL4;1088;Neoboutonia Macrocalyx;3.94;48.72;12.35;39400;487200;2682.5;14.68779124;181.6216216;13856.7;2869.83;5390.11;46.35;845.89;424.87;206.64;614.14
KBPL4;1091;Tabernaemontana Johnstonii;3.02;47.14;15.62;30200;471400;1894.1;15.94424793;248.8780951;18077.68;4017.68;5170.7;22.57;442.02;468.35;2281.58;250.16
KBPL4;1092;Tabernaemontana Johnstonii;3.19;48.75;15.3;31900;487500;1769.84;18.02422818;275.4486281;16171.07;3904.35;3553.05;15.27;439.12;486.85;2000.86;242.47
KBPL4;1095;Myrianthus Holstii;2.17;41.13;18.97;21700;411300;932.92;23.26030099;440.8738155;5630.2;3106.52;7503.73;32.7;525.13;263.52;734.79;2960.33
KBPL4;1096;Myrianthus Holstii;2.23;43.32;19.45;22300;433200;929.44;23.99294199;466.0871062;3256.82;3896.52;7311.38;35.75;526.81;237.06;754.47;2824.08
KBPL4;1097;Myrianthus Holstii;2.69;45.48;16.92;26900;454800;1004.98;26.76670182;452.5463193;9444.8;2421.79;3253.36;17.73;504.46;285.73;228.58;2138.04
KBPL4;1126;Allophylus Kivuensis;4.61;46.25;10.04;46100;462500;4347.45;10.60391724;106.3842022;21358.82;3465.03;5146.2;22.82;735.99;226.31;1403.51;528.69
KBPL4;1127;Allophylus Kivuensis;4.62;46.94;10.16;46200;469400;3522.35;13.11624342;133.2633043;17600.23;4169.59;7023.58;40.33;585.78;341.86;1745.81;5131.8
KBPL4;1128;Allophylus Kivuensis;4.48;46.25;10.31;44800;462500;3605.78;12.42449623;128.2662836;16800.53;4665.97;8564.68;39.69;489.46;188.98;1999.43;655.77
KBPL4;1139;Macaranga Spinosa;2.52;47.33;18.81;25200;473300;1260.39;19.99381144;375.5186887;8110.87;1781.67;4502.8;27.23;495.99;219.79;1526.87;1155.36
KBPL4;1140;Macaranga Kilimandsharica;2.47;48.29;19.54;24700;482900;1259.13;19.61671948;383.5187788;8100.19;2086.94;4759.92;29.01;419.71;102.51;1972.83;738.84
KBPL4;1142;Agauria Salicifolia;3.27;48.76;14.91;32700;487600;1875.51;17.43525761;259.9826181;15146.58;2537.91;3300.44;23.11;321.57;140.57;261.88;161.75
KBPL4;1158;Neoboutonia Macrocalyx;3.35;46.44;13.86;33500;464400;2146.41;15.60745617;216.361273;15018.59;3850.12;10018.4;88.77;530.62;384.82;1042.62;530.14
KBPL4;1159;Neoboutonia Macrocalyx;4.08;48.19;11.81;40800;481900;2415.86;16.88839585;199.4734794;15738.88;2976.79;5994.2;52.22;386.85;177.95;558.99;574.47
KBPL4;1160;Tabernaemontana Johnstonii;3.12;45.82;14.66;31200;458200;1839.24;16.96352841;249.1246384;18751.87;5072.39;6302.55;33.95;569.15;653.02;3936.1;341.49
KBPL4;1161;Tabernaemontana Johnstonii;3.15;45.34;14.41;31500;453400;1572.76;20.02848496;288.2830184;11999.04;7758.33;9356.03;30.69;632.94;1137.38;7108.13;448.81
