plotID,CN_soil,NP_soil,P_avail,P_g_kg,CP_soil,CEC,bases_in_CEC,ECEC,bases_in_ECEC,exch_bases_Mg,exch_bases_Ca,exch_bases_K,exch_base,pH_KCL,Ca_soil,K_soil,Mg_soil,TRB_soil,clay,silt,sand,K_resorp,P_resorp,Mg_resorp,intercept
KBPL10,9.068643717,2.462586086,41.62938333,2.12196981,22.33231584,36.67698667,60.95260667,22.08540667,97.23629667,3.497646667,15.28979333,0.616953333,19.40439333,5.298873333,0.383063333,0.157863333,0.415023333,0.999533332,48.14243333,37.86238667,13.72954333,62.703579670292285,45.39130826452613,20.37178566107547,1
KBPL11,10.5219835,1.651540808,54.27921333,3.72383573,17.37748512,48.74031667,10.05139333,13.56413,57.64534333,2.387093333,6.961213333,0.41178,9.760086666,4.154736667,0.314276667,0.15881,0.473423333,0.97221,25.15492667,58.44451,18.08319667,71.3686548379894,64.87451068712113,21.740236949151104,1
KBPL12,11.42239972,2.253852503,35.96613667,2.5291658,25.74440421,43.95336667,0.473766667,10.87296667,32.57465333,1.39821,3.018936667,0.25844,4.675586667,3.49083,0.149696667,0.102143333,0.305856667,0.571346667,28.83673667,55.56960333,18.21859333,86.09425790707202,50.96434603054465,4.151535310921067,1
KBPL6,9.394062857,2.260705679,20.38002667,1.92518058,21.23721125,33.48992333,42.25894333,16.19327333,72.92819667,2.618886667,9.711626667,0.457543333,12.78805667,4.61297,0.282973333,0.133473333,0.34646,0.799359999,47.36954333,35.61100667,14.09224333,77.27997789137575,60.19969937418198,51.418204512124014,1
UPL1,9.710758973,9.285420569,29.54629,0.32441898,90.16848111,18.20822,84.28550667,18.36141,93.05210333,2.64913,14.96982,0.51553,18.13448,5.825413333,0.277843333,0.1187,0.231176667,0.647516667,44.26861333,51.32385,6.838393333,83.97058837180592,76.51300133430085,30.229806654911812,1
UPL10,10.39117559,1.387066778,31.02066667,1.33060164,14.41325444,17.40541667,82.09851333,12.55755,97.44921,2.878023333,9.590353333,0.540546667,13.00892333,5.100693333,0.396913333,0.17086,0.350323333,0.945646666,30.99515,61.65630667,11.00149667,61.443715830428246,47.82491724602685,0.4235756226806118,1
UPL11,9.177680525,3.225521034,23.20497333,0.70841268,29.60280158,18.46044333,87.99256667,15.29198667,99.55289,2.833453333,13.09556333,0.596613333,16.52563,5.634096667,0.378803333,0.155066667,0.307933333,0.858893333,35.55166333,56.79727,10.8573,64.66708110821145,59.39203884829218,14.32864466603909,1
UPL12,11.48053843,1.572760421,25.33104667,0.94581757,18.05613646,13.48689889,71.46371556,12.17110444,74.25032778,2.038247778,9.540521111,0.44913,12.02789889,5.021974444,0.347875556,0.163038889,0.305657778,0.823681112,28.76565444,64.10600778,10.76528,75.44028488843377,79.27434881058343,15.161867061987381,1
UPL2,9.972722191,10.65626003,29.42424333,0.25182381,106.2719208,18.49595,85.38896,17.54132,91.71805,2.734526667,14.38402667,0.546003333,17.66455667,5.740066667,0.30545,0.131936667,0.251116667,0.706470001,39.15097,53.69690667,9.268613333,68.85066279421324,53.51114359557785,33.414513828904546,1
UPL3,9.475732537,3.908722541,60.657702,0.770968,37.03800936,22.540952,85.517588,18.382254,100.057524,2.991332,15.246642,0.611442,18.849416,5.765614,0.36743,0.154422,0.310718,0.852984,34.149694,56.57702,11.86551,60.91899605424076,56.611235314155124,13.13237225007258,1
