plotID,sampleID,BD_spec,clay_spec,silt_spec,sand_spec,pH_KCL_spec,TC_bulk_spec,TN_bulk_spec,CN_spec,P_avail_spec,bases_in_CEC_spec,CEC_spec,bases_in_ECEC_spec,ECEC_spec,exch_bases_Mg_spec,exch_bases_Ca_spec,exch_bases_K_spec,exch_acidity_Al_spec,Al_py_extract_spec,Al_ox_extract_spec,Al_dcb_extract_spec,Fe_py_extract_spec,Fe_ox_extract_spec,Fe_dcb_extract_spec,Mn_py_extract_spec,Mn_ox_extract_spec,Mn_dcb_extract_spec,Ca_ICPOES_spec,K_ICPOES_spec,Mg_ICPOES_spec,Na_ICPOES_spec,P_ICPOES_spec,AL_ICPOES_spec,Fe_ICPOES_spec,Mn_ICPOES_spec,Si_XRF_spec
KBPL10,KBPL10C1,0.9405,45.78562,38.74507,14.73495,5.49096,6.02652,0.64722,8.67868,50.75527,72.60441,39.36204,112.73585,25.3714,4.19685,18.04284,0.72402,-0.52835,0.17545,0.60118,1.05329,0.12298,1.53701,4.84706,0.07649,0.30236,0.11996,0.42266,0.16286,0.42926,0.04733,0.18082544,6.74191,9.23304,0.44019,13.66654
KBPL10,KBPL10C10,1.42013,53.37963,30.38358,14.55199,4.25007,1.27482,0.20158,8.6566,7.76036,32.04445,27.98246,69.89058,10.5883,1.96298,4.51147,0.36738,1.45227,0.13102,0.44023,3.994,0.11593,1.64544,6.58886,0.02421,0.19037,0.10296,0.23955,0.12217,0.29481,0.04266,0.237000048,7.21648,9.68638,0.25907,14.55054
KBPL10,KBPL10C2,1.09115,50.75436,35.30148,14.1909,5.28813,4.35841,0.48817,13.19737,38.57893,60.28464,35.74395,95.33166,22.25231,3.47695,15.26995,0.61615,-0.33298,0.18598,0.57055,1.70305,0.19094,1.77093,5.25782,0.06038,0.25202,0.10875,0.38167,0.15524,0.41116,0.04262,0.203377241,7.76107,9.02424,0.36045,13.85181
KBPL10,KBPL10C3,1.17323,47.88732,39.54061,12.26278,5.11753,3.83162,0.43227,12.4835,35.55395,49.96877,34.92497,83.64138,18.63251,2.81914,12.55659,0.51069,0.20468,0.22612,0.56222,2.40114,0.34641,2.14622,5.12881,0.03886,0.20842,0.09427,0.34486,0.15549,0.40465,0.0408,0.252388263,8.5733,9.14042,0.31965,13.1991
KBPL10,KBPL10C4,1.2387,51.22485,32.34166,14.79744,4.67716,2.98614,0.33321,10.04047,33.76184,42.30988,31.46275,73.92591,15.99172,2.49839,9.36877,0.45327,1.13391,0.19034,0.48326,2.55651,0.2318,1.69934,5.7152,0.03935,0.18616,0.10388,0.26653,0.12502,0.31904,0.03905,0.189264773,7.52963,9.95381,0.25885,13.56659
KBPL10,KBPL10C5,1.25652,52.16985,34.97135,12.15046,4.85941,2.75119,0.33415,9.36407,28.31323,42.73989,33.18266,79.17909,16.48858,2.54031,10.22391,0.46262,0.53666,0.19665,0.53624,2.93096,0.26914,2.09997,5.7342,0.03079,0.1934,0.09017,0.33321,0.15593,0.40419,0.03908,0.273508755,8.596,9.70705,0.30827,13.19803
KBPL10,KBPL10C6,1.29999,50.40062,37.94048,10.87888,4.81463,2.52503,0.31696,7.08462,22.87941,42.37067,30.71103,80.37397,15.13388,2.37118,9.39738,0.42672,0.49905,0.1703,0.48667,2.92928,0.22701,1.99063,5.55869,0.0245,0.17723,0.08206,0.31712,0.15202,0.38624,0.04117,0.281241248,8.1525,8.61892,0.30097,13.60841
KBPL10,KBPL10C7,1.34211,58.22379,27.16749,14.12828,4.35255,1.98787,0.26997,8.68026,16.74686,34.33412,29.68038,68.22249,12.58332,2.08456,6.11108,0.38143,1.4999,0.14878,0.45408,3.19986,0.13871,1.72566,6.50076,0.02955,0.17136,0.08731,0.23384,0.11772,0.29773,0.04236,0.215833778,7.86004,10.50245,0.25495,13.53712
KBPL10,KBPL10C8,1.38216,52.58774,36.54363,11.19201,4.67549,1.70028,0.2578,4.98111,18.9133,36.58756,30.08569,77.48238,12.00819,2.17305,7.18141,0.39566,0.31432,0.16017,0.49541,3.95776,0.19948,2.10949,5.70589,0.01986,0.18775,0.10004,0.31234,0.15138,0.39046,0.04658,0.307596523,8.44688,9.38996,0.30936,13.55552
KBPL10,KBPL10C9,1.39143,50.31358,38.291,10.73965,4.68819,1.59258,0.24309,11.13239,21.58978,36.26642,29.47509,78.1786,12.13204,2.14869,7.25193,0.38134,0.15639,0.14493,0.48105,4.1751,0.18451,2.1216,5.71568,0.0165,0.17921,0.09163,0.31843,0.15451,0.39965,0.04584,0.324554155,8.5268,9.31063,0.30061,13.38947
