plotID;region;slope;TC_bulk;TN_bulk;P_avail;clay;silt;sand;pH_KCL;bases_in_CEC;CEC;bases_in_ECEC;ECEC;exch_bases_Mg;exch_bases_Ca;exch_bases_K;exch_base;exch_acidity_Al;Ca_soil;K_soil;Mg_soil;Na_soil;TRB_soil;P_soil
KBPL1;Mafic;PL;3.668416667;0.34667;0;54.22441333;31.47189;12.62043667;3.705613333;9.83495;31.77082333;34.24001667;9.39498;1.06732;2.61373;0.203016667;3.884066667;3.760183333;0.07351;0.067103333;0.194336667;0.019746667;0.354696667;0.135288219
KBPL10;Mafic;V;4.73885;0.522553333;41.62938333;48.14243333;37.86238667;13.72954333;5.298873333;60.95260667;36.67698667;97.23629667;22.08540667;3.497646667;15.28979333;0.616953333;19.40439333;0.068226667;0.383063333;0.157863333;0.415023333;0.043583333;0.999533332;0.212196981
KBPL11;Mafic;V;6.47109;0.615006667;54.27921333;25.15492667;58.44451;18.08319667;4.154736667;10.05139333;48.74031667;57.64534333;13.56413;2.387093333;6.961213333;0.41178;9.760086666;2.04284;0.314276667;0.15881;0.473423333;0.0257;0.97221;0.372383573
KBPL12;Mafic;V;6.511186667;0.570036667;35.96613667;28.83673667;55.56960333;18.21859333;3.49083;0.473766667;43.95336667;32.57465333;10.87296667;1.39821;3.018936667;0.25844;4.675586667;4.20975;0.149696667;0.102143333;0.305856667;0.01365;0.571346667;0.25291658
KBPL4;Mafic;UP;4.584983333;0.412953333;0;53.65293333;33.69557333;12.72477333;3.43753;1.172953333;35.03142667;24.11414;8.608213333;0.822183333;1.286436667;0.16185;2.27047;4.732593333;0.036253333;0.05896;0.18143;0.01825;0.294893333;0.137902154
KBPL5;Mafic;UP;3.697573333;0.355486667;8.05505;58.31250333;28.91700667;12.07328667;3.67304;9.14507;35.44356333;34.76486333;8.904996667;1.385126667;2.558983333;0.235146667;4.179256667;3.76966;0.0923;0.073016667;0.240823333;0.030546667;0.436686667;0.148340437
KBPL6;Mafic;UP;4.088546667;0.435226667;20.38002667;47.36954333;35.61100667;14.09224333;4.61297;42.25894333;33.48992333;72.92819667;16.19327333;2.618886667;9.711626667;0.457543333;12.78805667;1.224626667;0.282973333;0.133473333;0.34646;0.036453333;0.799359999;0.192518058
KBPL7;Mafic;MS;3.081963333;0.29052;73.27644;56.26819333;24.33709;15.69802;4.578273333;33.92459;39.57990333;76.74103;14.25771333;3.118993333;8.404723333;0.499286667;12.02300333;0.741083333;0.268193333;0.12203;0.368846667;0.065176667;0.824246667;0.18632655
KBPL8;Mafic;MS;4.88736;0.457213333;2.661273333;54.21274333;33.44451;12.4877;3.6476;8.614216667;37.47696;37.22522333;10.29872333;1.349566667;3.294356667;0.231783333;4.875706667;3.987126667;0.076876667;0.06789;0.217066667;0.024153333;0.385986667;0.140371639
KBPL9;Mafic;MS;3.480753333;0.338386667;2.939053333;57.23592667;27.66851667;14.48937;3.828613333;20.04397667;35.98299333;46.29854;10.35254667;2.061793333;3.948136667;0.33254;6.34247;3.16876;0.128903333;0.075516667;0.254976667;0.03376;0.493156667;0.108664797
UPL1;Felsic;PL;2.925236667;0.301236667;29.54629;44.26861333;51.32385;6.838393333;5.825413333;84.28550667;18.20822;93.05210333;18.36141;2.64913;14.96982;0.51553;18.13448;0.063466667;0.277843333;0.1187;0.231176667;0.019796667;0.647516667;0.032441898
UPL10;Felsic;V;1.91783;0.184563333;31.02066667;30.99515;61.65630667;11.00149667;5.100693333;82.09851333;17.40541667;97.44921;12.55755;2.878023333;9.590353333;0.540546667;13.00892333;0.163356667;0.396913333;0.17086;0.350323333;0.02755;0.945646666;0.133060164
