region;plotID;slope;Species;N;C;P;CN;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si
Mafic;KBPL1;PL;Agauria Salicifolia;2.66;46.02;1786.19;17.30075188;14.89203276;257.6433638;4807.34;1771.47;11244.82;67.98;692.04;303.21;2219.33;1481.44
Mafic;KBPL1;PL;Allophylus Kivuensis;3.943333333;47.94;3139.083333;12.31342987;12.70680866;156.5929103;17073.68;2945.293333;5447.906667;31.73;929.85;396.7266667;715.38;554.42
Mafic;KBPL1;PL;Dombeya Goetzenii;3.47;45.585;2145.865;13.13585399;16.18871718;212.7583676;22514.74;6304.52;8476.435;38.7;884.345;919.445;3408.45;450.38
Mafic;KBPL1;PL;Neoboutonia Macrocalyx ;3.9525;48.9825;2527.98;12.41841791;16.07221629;198.9319653;16350.505;3750.4225;7883.91;158.8125;422.2975;204.4925;129.8025;475.4725
Mafic;KBPL10;V;Alangium Chinense;3.203333333;45.17;2851.54;14.12143726;11.56473193;162.5134891;16844.20333;3539.433333;12543.71333;63.58666667;153.3233333;86.46;33.09333333;224.6
Mafic;KBPL10;V;Dombeya Goetzenii;4.57;45.3;3334.48;9.912472648;13.70528538;135.8532665;28797.63;3226.03;10794.18;53.24;214.94;130.15;55.21;368.75
Mafic;KBPL10;V;Neoboutonia Macrocalyx;3.833333333;46.85666667;3127.266667;12.28562876;12.52782897;152.0331901;15768.92333;4387.676667;11784.96333;64.27333333;148.7533333;90.32333333;75.74;318.34
Mafic;KBPL11;V;Cassipourea Ruwensorensis;2.096666667;46.90333333;2429.483333;23.32649922;8.71364252;204.6810742;8840.353333;2472.903333;10822.08667;32.51666667;224.7766667;186.5966667;68.27333333;295.0633333
Mafic;KBPL11;V;Dombeya Goetzenii;4.02;45.22;3625.155;11.27784572;11.10033116;124.7856813;24187.095;3363.315;14195.855;32.98;200.825;121.975;94.045;409.45
Mafic;KBPL11;V;Maesa Lanceolata;3.175;47.93;2933.2625;15.10327061;10.83053027;163.580859;23103.8275;2294.615;9072.53;28.425;221.5;138.935;97.8;192.3225
Mafic;KBPL11;V;Neoboutonia Macrocalyx;3.555;45.75;3515.74;13.13008353;10.19881935;134.8261791;18781.39;3986.11;12107.64;54.6;171.735;123.225;48.525;317.005
Mafic;KBPL11;V;Xymalos Monospora;2.64;42.55;2228.265;16.11851852;11.89341694;191.7338376;18647.925;5604.33;11657.22;49.44;261.16;777.15;213.775;1300.01
Mafic;KBPL12;V;Agauria Salicifolia;1.73;50.44;856.14;29.15606936;20.20697549;589.1559792;6627.55;2213.56;4900.26;30.04;180.24;214.03;820.46;390.52
Mafic;KBPL12;V;Cassipourea Ruwensorensis;1.963333333;47.09666667;1208.34;24.48248071;16.19057063;391.0712087;7631.69;3584.556667;7592.776667;34.48;208.8733333;173.73;532.07;275.6033333
Mafic;KBPL12;V;Dombeya Goetzenii;4.33;46.64666667;3036.716667;10.78158652;14.48893058;156.0065379;21745.87333;3395.286667;8786.443333;35.73333333;190.3;114.26;172.38;380.9733333
Mafic;KBPL12;V;Neoboutonia Macrocalyx;3.553333333;47.75666667;2879.776667;13.44910704;12.34513101;165.9606705;14008.72333;4094.313333;9054.023333;69.32666667;217.42;215.81;202.8133333;565.16
