plotID_x,treeID,Species,N,C,CN,N_mass,C_mass,P,NP,CP,K,Mg,Ca,Na,Fe,Al,Mn,Si,forest,plotID_y,meanWD,predHeight18,predHeight20,DBH18,DBH20,TreeBA,BA per Ha,name
KBPL1,1008,Neoboutonia Macrocalyx ,4.15,50.18,12.09,41500,501800,2196.8,18.89111435,228.423161,17685.58,4106.51,8703.87,213.01,75.94,40.75,61.13,407.5,Kahuzi,KBPL1,0.33,15.17952001,15.73901541,27.6,31.46,0.07773352,0.485834499,Neoboutonia Macrocalyx
KBPL1,1015,Neoboutonia Macrocalyx,3.9,47.73,12.24,39000,477300,3191.47,12.22007414,149.5549073,16294.75,2954.51,6360.6,147.6,818.29,316.26,142.96,498.6,Kahuzi,KBPL1,0.33,13.18212263,12.67834731,21.4,21.59,0.036609701,0.228810631,Neoboutonia Macrocalyx
KBPL1,1017,Neoboutonia Macrocalyx,3.61,47.84,13.25,36100,478400,2526.85,14.28656232,189.326632,13736.11,3834.16,7767.3,61.63,719.02,420.21,253.99,588.29,Kahuzi,KBPL1,0.33,15.20828223,15.14274553,27.7,29.27,0.067287802,0.420548762,Neoboutonia Macrocalyx
KBPL1,1023,Allophylus Kivuensis,3.75,48.13,12.84,37500,481300,3455.39,10.85260998,139.2896316,10526.61,3033.72,5698.03,29.85,848.92,466.44,722.05,615.7,Kahuzi,KBPL1,0.5178,15.37883113,15.20450734,28.3,29.49,0.068303104,0.426894402,Allophylus Kivuensis
KBPL1,1024,Allophylus Kivuensis,4.52,46.49,10.28,45200,464900,3446.51,13.11471605,134.8900772,28754.37,3510.83,5899.93,37.83,1034.71,389.67,875.82,552.35,Kahuzi,KBPL1,0.5178,9.347006901,8.791939846,12.6,12.71,0.012687674,0.07929796,Allophylus Kivuensis
KBPL1,1041,Agauria Salicifolia,2.66,46.02,17.31,26600,460200,1786.19,14.89203276,257.6433638,4807.34,1771.47,11244.82,67.98,692.04,303.21,2219.33,1481.44,Kahuzi,KBPL1,0.4731,24.78492136,24.8055465,108.0,108.9,0.931422353,5.821389709,Agauria Salicifolia
KBPL1,1062,Dombeya Goetzenii,3.45,44.7,12.96,34500,447000,2211.67,15.59907219,202.109718,23499.9,7070.11,10074.1,41.8,976.63,1058.33,3988.22,478.81,Kahuzi,KBPL1,0.5,16.00205078,15.70738008,30.6,31.34,0.077141642,0.482135265,Dombeya Goetzenii
KBPL1,1063,Dombeya Goetzenii,3.49,46.47,13.32,34900,464700,2080.06,16.77836216,223.4070171,21529.58,5538.93,6878.77,35.6,792.06,780.56,2828.68,421.95,Kahuzi,KBPL1,0.5,16.45852319,16.94756539,32.4,36.4,0.104062358,0.65038974,Dombeya Goetzenii
KBPL1,1075,Allophylus Kivuensis,3.56,49.2,13.84,35600,492000,2515.35,14.15309997,195.599022,11940.06,2291.33,4745.76,27.51,905.92,334.07,548.27,495.21,Kahuzi,KBPL1,0.5178,12.11480516,12.0405319,18.6,19.9,0.031102625,0.194391409,Allophylus Kivuensis
KBPL4,1088,Neoboutonia Macrocalyx,3.94,48.72,12.35,39400,487200,2682.5,14.68779124,181.6216216,13856.7,2869.83,5390.11,46.35,845.89,424.87,206.64,614.14,Kahuzi,KBPL4,0.33,16.77255595,16.6910531,33.7,35.29,0.097812467,0.61132792,Neoboutonia Macrocalyx
KBPL4,1091,Tabernaemontana Johnstonii,3.02,47.14,15.62,30200,471400,1894.1,15.94424793,248.8780951,18077.68,4017.68,5170.7,22.57,442.02,468.35,2281.58,250.16,Kahuzi,KBPL4,0.5261,17.47327023,17.24661527,36.8,37.74,0.111865119,0.699156993,Taberemonta Johnstonii
KBPL4,1092,Tabernaemontana Johnstonii,3.19,48.75,15.3,31900,487500,1769.84,18.02422818,275.4486281,16171.07,3904.35,3553.05,15.27,439.12,486.85,2000.86,242.47,Kahuzi,KBPL4,0.5261,16.50766301,16.18001582,32.6,33.18,0.08646566,0.540410374,Taberemonta Johnstonii
