plotID;region;slope;N;C;N_mass;C_mass;P;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si;meanWD;predHeight18;DBH18;CN
KBPL1;Mafic;PL;3.000025355;46.43163925;30.00025355;464.3163925;2028.662678;14.93693848;236.9024163;9145.579732;2615.660028;10056.99218;70.92421861;710.748905;375.5568167;1999.653598;1173.018908;0.462915476;21.62080124;82.58840316;15.86454744
KBPL10;Mafic;V;3.38575743;45.51394141;33.8575743;455.1394141;2926.664465;11.84570803;159.3181176;17117.63207;3696.900112;12319.76865;63.3009904;154.9280815;89.02403258;42.56052813;249.3201835;0.391329146;17.44786423;41.42676297;13.58058422
KBPL11;Mafic;V;2.804914882;46.26112496;28.04914882;462.6112496;2833.703826;9.872929593;174.6853037;15504.38836;3143.739935;11207.06617;38.32023474;213.8514501;213.814111;84.19544453;386.3517111;0.560832197;13.13450771;23.21377954;18.0786302
KBPL12;Mafic;V;2.547138963;48.49337813;25.47138963;484.9337813;1630.31615;17.14561082;401.1524477;10967.19156;3007.433435;6852.106922;36.3579759;193.3725922;182.0283402;542.7290057;377.1633948;0.51362439;18.0469043;50.68664672;22.34037409
KBPL4;Mafic;UP;3.097018828;46.86242801;30.97018828;468.6242801;1779.991366;18.63375309;299.2693724;12740.34943;3418.260207;5555.784167;32.7792035;484.4500379;329.5761231;1589.682428;948.6766823;0.454161201;15.3763513;31.3767311;15.67731809
KBPL5;Mafic;UP;3.779311247;46.69151764;37.79311247;466.9151764;2781.108025;14.05037368;175.8128823;24734.61425;4344.480556;7010.72113;41.10882627;497.6982078;457.1253399;877.5190896;433.7394732;0.452452349;14.05254501;25.33408355;12.44686256
KBPL6;Mafic;UP;3.153114191;45.6493925;31.53114191;456.493925;2161.889391;15.31840802;245.8992426;10539.10107;5608.899946;9281.973162;73.04528458;410.0819632;246.5394368;494.2443498;1845.311376;0.437731057;14.57227444;29.59342861;15.6385754
KBPL7;Mafic;MS;3.610410531;46.01013762;36.10410531;460.1013762;2999.573172;12.1580425;156.0815516;22886.19649;5608.827438;9811.213924;65.22262566;294.6116569;151.4444756;83.57370945;318.0749691;0.514196579;12.32181231;20.0997651;12.90463062
KBPL8;Mafic;MS;3.705045198;46.22614193;37.05045198;462.2614193;2091.845916;18.03611065;229.779779;18112.81579;4345.220463;7498.181891;35.01944522;235.8085055;387.3974172;1433.465011;442.2779162;0.502677033;14.34826933;27.95776072;12.65880531
KBPL9;Mafic;MS;3.441542999;46.50875732;34.41542999;465.0875732;2085.732289;17.48866369;249.5815668;12088.56282;3726.77057;7138.471524;46.72692709;225.7749284;188.4562785;376.833434;774.0722729;0.548362019;19.64879679;62.9562294;13.93256346
