plotID;region;slope;N_mass;C_mass;P;CN;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si
KBPL1;Mafic;PL;30.00025355;464.3163925;2.028662678;15.47708228;14.78819218;228.8780671;9.145579732;2.615660028;10.05699218;0.070924219;0.710748905;0.375556817;1.999653598;1.173018908
KBPL10;Mafic;V;33.8575743;455.1394141;2.926664465;13.44276498;11.56865596;155.5147232;17.11763207;3.696900112;12.31976865;0.06330099;0.154928082;0.089024033;0.042560528;0.249320184
KBPL11;Mafic;V;28.04914882;462.6112496;2.833703826;16.49288014;9.898405247;163.2532113;15.50438836;3.143739935;11.20706617;0.038320235;0.21385145;0.213814111;0.084195445;0.386351711
KBPL12;Mafic;V;25.47138963;484.9337813;1.63031615;19.03837161;15.6235891;297.4476952;10.96719156;3.007433435;6.852106922;0.036357976;0.193372592;0.18202834;0.542729006;0.377163395
KBPL4;Mafic;UP;30.97018828;468.6242801;1.779991366;15.13146371;17.39906658;263.2733445;12.74034943;3.418260207;5.555784167;0.032779204;0.484450038;0.329576123;1.589682428;0.948676682
KBPL5;Mafic;UP;37.79311247;466.9151764;2.781108025;12.35450446;13.58922851;167.8881842;24.73461425;4.344480556;7.01072113;0.041108826;0.497698208;0.45712534;0.87751909;0.433739473
KBPL6;Mafic;UP;31.53114191;456.493925;2.161889391;14.47755766;14.58499313;211.1550789;10.53910107;5.608899946;9.281973162;0.073045285;0.410081963;0.246539437;0.49424435;1.845311376
KBPL7;Mafic;MS;36.10410531;460.1013762;2.999573172;12.74374125;12.03641426;153.388949;22.88619649;5.608827438;9.811213924;0.065222626;0.294611657;0.151444476;0.083573709;0.318074969
KBPL8;Mafic;MS;37.05045198;462.2614193;2.091845916;12.47653928;17.71184565;220.9825378;18.11281579;4.345220463;7.498181891;0.035019445;0.235808506;0.387397417;1.433465011;0.442277916
KBPL9;Mafic;MS;34.41542999;465.0875732;2.085732289;13.51392597;16.5004062;222.9852679;12.08856282;3.72677057;7.138471524;0.046726927;0.225774928;0.188456279;0.376833434;0.774072273
UPL1;Felsic;PL;25.82180592;500.3749115;1.862416015;19.37799831;13.86468206;268.6697856;20.29019728;2.346321715;11.88479917;0.10091371;0.275249448;0.156779966;0.092594871;0.610992289
UPL10;Felsic;V;26.48232759;532.7513257;0.932949973;20.11723946;28.3855816;571.0395424;11.0749188;2.125701862;11.16298831;0.138315023;0.168424038;0.135080598;0.091528071;0.812825269
UPL11;Felsic;V;28.96401009;432.7869477;1.13477967;14.94223163;25.52390641;381.3841216;12.537311;2.488390091;14.19306267;0.177707418;0.317915939;0.19801477;0.095429111;0.996180135
UPL12;Felsic;V;25.38148822;457.9488036;1.410728258;18.04263011;17.99176282;324.6187216;14.28737008;2.484648477;8.987408897;0.110172313;0.25089894;0.148806907;0.14820243;1.287263663
UPL2;Felsic;PL;23.80466974;478.0530235;1.23448701;20.08232119;19.28304595;387.2483223;10.94862722;2.262068917;10.35459404;0.236127733;0.425543312;0.193323828;0.212662562;0.745061087
UPL3;Felsic;PL;21.64772463;421.107152;1.318443431;19.45272121;16.41915316;319.3972089;11.13041441;1.737972303;12.222003;0.105693564;0.496737262;0.216188941;0.08237847;0.494277264
