region;plotID;slope;treeID;Species;N;C;CN;N_mass;C_mass;P;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si;BA;meanWD;predHeight18;DBH18
Mafic;KBPL1;PL;1008;NeoboutoniaMacrocalyx;4.15;50.18;12.09156627;41500;501800;2196.8;18.89111435;228.423161;17685.58;4106.51;8703.87;213.01;75.94;40.75;61.13;407.5;0.37397655;0.33;15.17952001;27.6
Mafic;KBPL1;PL;1015;NeoboutoniaMacrocalyx;3.9;47.73;12.23846154;39000;477300;3191.47;12.22007414;149.5549073;16294.75;2954.51;6360.6;147.6;818.29;316.26;142.96;498.6;0.224829738;0.33;13.18212263;21.4
Mafic;KBPL1;PL;1017;NeoboutoniaMacrocalyx;3.61;47.84;13.25207756;36100;478400;2526.85;14.28656232;189.326632;13736.11;3834.16;7767.3;61.63;719.02;420.21;253.99;588.29;0.376691434;0.33;15.20828223;27.7
Mafic;KBPL1;PL;1023;AllophylusKivuensis;3.75;48.13;12.83466667;37500;481300;3455.39;10.85260998;139.2896316;10526.61;3033.72;5698.03;29.85;848.92;466.44;722.05;615.7;0.393186934;0.5178;15.37883113;28.3
Mafic;KBPL1;PL;1024;AllophylusKivuensis;4.52;46.49;10.28539823;45200;464900;3446.51;13.11471605;134.8900772;28754.37;3510.83;5899.93;37.83;1034.71;389.67;875.82;552.35;0.077941238;0.5178;9.347006901;12.6
Mafic;KBPL1;PL;1041;AgauriaSalicifolia;2.66;46.02;17.30075188;26600;460200;1786.19;14.89203276;257.6433638;4807.34;1771.47;11244.82;67.98;692.04;303.21;2219.33;1481.44;5.726295;0.4731;24.78492136;108
Mafic;KBPL1;PL;1062;DombeyaGoetzenii;3.45;44.7;12.95652174;34500;447000;2211.67;15.59907219;202.109718;23499.9;7070.11;10074.1;41.8;976.63;1058.33;3988.22;478.81;0.459694238;0.5;16.00205078;30.6
Mafic;KBPL1;PL;1063;DombeyaGoetzenii;3.49;46.47;13.31518625;34900;464700;2080.06;16.77836216;223.4070171;21529.58;5538.93;6878.77;35.6;792.06;780.56;2828.68;421.95;0.51536655;0.5;16.45852319;32.4
Mafic;KBPL1;PL;1075;AllophylusKivuensis;3.56;49.2;13.82022472;35600;492000;2515.35;14.15309997;195.599022;11940.06;2291.33;4745.76;27.51;905.92;334.07;548.27;495.21;0.169844738;0.5178;12.11480516;18.6
Mafic;KBPL4;UP;1088;NeoboutoniaMacrocalyx;3.94;48.72;12.36548223;39400;487200;2682.5;14.68779124;181.6216216;13856.7;2869.83;5390.11;46.35;845.89;424.87;206.64;614.14;0.557552809;0.33;16.77255595;33.7
Mafic;KBPL4;UP;1091;TabernaemontanaJohnstonii;3.02;47.14;15.60927152;30200;471400;1894.1;15.94424793;248.8780951;18077.68;4017.68;5170.7;22.57;442.02;468.35;2281.58;250.16;0.6648472;0.5261;17.47327023;36.8
Mafic;KBPL4;UP;1092;TabernaemontanaJohnstonii;3.19;48.75;15.28213166;31900;487500;1769.84;18.02422818;275.4486281;16171.07;3904.35;3553.05;15.27;439.12;486.85;2000.86;242.47;0.521748738;0.5261;16.50766301;32.6
Mafic;KBPL4;UP;1095;MyrianthusHolstii;2.17;41.13;18.95391705;21700;411300;932.92;23.26030099;440.8738155;5630.2;3106.52;7503.73;32.7;525.13;263.52;734.79;2960.33;0.15906375;0.469;11.86984612;18
Mafic;KBPL4;UP;1096;MyrianthusHolstii;2.23;43.32;19.42600897;22300;433200;929.44;23.99294199;466.0871062;3256.82;3896.52;7311.38;35.75;526.81;237.06;754.47;2824.08;0.959115138;0.469;18.91392812;44.2
Mafic;KBPL4;UP;1097;MyrianthusHolstii;2.69;45.48;16.9070632;26900;454800;1004.98;26.76670182;452.5463193;9444.8;2421.79;3253.36;17.73;504.46;285.73;228.58;2138.04;0.063802238;0.469;8.692811477;11.4
Mafic;KBPL4;UP;1126;AllophylusKivuensis;4.61;46.25;10.03253796;46100;462500;4347.45;10.60391724;106.3842022;21358.82;3465.03;5146.2;22.82;735.99;226.31;1403.51;528.69;0.059403438;0.5178;8.465645526;11
Mafic;KBPL4;UP;1127;AllophylusKivuensis;4.62;46.94;10.16017316;46200;469400;3522.35;13.11624342;133.2633043;17600.23;4169.59;7023.58;40.33;585.78;341.86;1745.81;5131.8;0.23761375;0.5178;13.39593246;22
Mafic;KBPL4;UP;1128;AllophylusKivuensis;4.48;46.25;10.32366071;44800;462500;3605.78;12.42449623;128.2662836;16800.53;4665.97;8564.68;39.69;489.46;188.98;1999.43;655.77;0.069521659;0.5178;8.970241151;11.9
Mafic;KBPL4;UP;1139;MacarangaSpinosa;2.52;47.33;18.78174603;25200;473300;1260.39;19.99381144;375.5186887;8110.87;1781.67;4502.8;27.23;495.99;219.79;1526.87;1155.36;0.14523895;0.3818;11.53344077;17.2
