forest;plotID;treeID;genus;species;famil;meanWD;predHeight18;predHeight20;DBH18;DBH20;TreeBA;BA per Ha;tree_status;comments
Kahuzi;KBPL1;1001;Neoboutonia;Macrocalyx;Euphorbiaceae;0.33;8.579820697;8.823398197;11.2;12.77;0.012807746;0.08004841;1;
Kahuzi;KBPL1;1002;Strombosia;Scheffleri;Olacaceae;0.584;7.996668776;8.260138447;10.2;11.72;0.010788129;0.067425805;1;
Kahuzi;KBPL1;1003;Macaranga;Kilimandsharica;Euphorbiaceae;0.4;8.522882473;7.942601859;11.1;11.15;0.009764289;0.061026807;1;
Kahuzi;KBPL1;1004;Dombeya;Goetzenii;Malvaceae;0.5;19.46888187;19.33059802;47.5;48.73;0.186502097;1.165638107;1;
Kahuzi;KBPL1;1005;Polyscias;Fulva;Araliaceae;0.237;13.57040808;14.66246172;22.5;27.61;0.059871992;0.374199952;1;
Kahuzi;KBPL1;1006;Taberemonta;Johnstonii;Apocyceae;0.5261;16.10575732;16.3823936;31;34;0.09079224;0.5674515;1;
Kahuzi;KBPL1;1007;Galiniera;Coffeoides;Rubiaceae;0.4731;8.056394382;7.743311997;10.3;10.8;0.009160906;0.05725566;1;
Kahuzi;KBPL1;1008;Neoboutonia;Macrocalyx;Euphorbiaceae;0.33;15.17952001;15.73901541;27.6;31.46;0.07773352;0.485834499;1;
Kahuzi;KBPL1;1009;Xymalos;Monospora;Monimiaceae;0.4731;9.761885204;9.796337094;13.4;14.71;0.016994807;0.106217545;1;
Kahuzi;KBPL1;1010;Dombeya;Goetzenii;Malvaceae;0.5;22.3227238;22.25862023;70.6;71.82;0.405118148;2.531988424;1;
Kahuzi;KBPL1;1011;Alangium;Chinense;Alangiaceae;0.4017;13.18212263;12.99862302;21.4;22.48;0.03969022;0.248063878;1;
Kahuzi;KBPL1;1012;Dombeya;Goetzenii;Malvaceae;0.5;20.83119004;20.75066239;57;58.44;0.268232447;1.676452793;1;
Kahuzi;KBPL1;1013;Millettia;Dura;Fabaceae;0.6967;12.47104212;12.06776016;19.5;19.97;0.031321823;0.195761392;1;
Kahuzi;KBPL1;1014;Strombosia;Scheffleri;Olacaceae;0.584;10.45066057;10.59320553;14.8;16.43;0.021201472;0.132509203;1;
Kahuzi;KBPL1;1015;Neoboutonia;Macrocalyx;Euphorbiaceae;0.33;13.18212263;12.67834731;21.4;21.59;0.036609701;0.228810631;1;
Kahuzi;KBPL1;1016;Neoboutonia;Macrocalyx;Euphorbiaceae;0.33;14.521068;14.37572778;25.4;26.66;0.055822745;0.348892155;1;
Kahuzi;KBPL1;1017;Neoboutonia;Macrocalyx;Euphorbiaceae;0.33;15.20828223;15.14274553;27.7;29.27;0.067287802;0.420548762;1;
Kahuzi;KBPL1;1018;Strombosia;Scheffleri;Olacaceae;0.584;9.761885204;10.05279046;13.4;15.25;0.018265459;0.114159117;1;
Kahuzi;KBPL1;1019;Maesa;Lanceolata;Maesaceae;0.676;15.89700127;15.84883001;30.2;31.88;0.079822904;0.498893149;1;
Kahuzi;KBPL1;1020;Alangium;Chinense;Alangiaceae;0.4017;10.49815236;10.93187295;14.9;17.2;0.023235274;0.14522046;1;
Kahuzi;KBPL1;1021;Dombeya;Goetzenii;Malvaceae;0.5;8.636462832;8.57464703;11.3;12.3;0.011882317;0.074264479;1;Onedeadbranchandanotheroneliving
Kahuzi;KBPL1;1022;Dombeya;Goetzenii;Malvaceae;0.5;16.33432029;16.16000634;31.9;33.1;0.086049209;0.537807559;1;
Kahuzi;KBPL1;1023;Allophylus;Kivuensis;Sapindaceae;0.5178;15.37883113;15.20450734;28.3;29.49;0.068303104;0.426894402;1;
Kahuzi;KBPL1;1024;Allophylus;Kivuensis;Sapindaceae;0.5178;9.347006901;8.791939846;12.6;12.71;0.012687674;0.07929796;1;
Kahuzi;KBPL1;1025;Albizia;Adianthifolia;Fabaceae;0.5075;8.465645526;8.116358367;11;11.46;0.010314784;0.064467399;1;
Kahuzi;KBPL1;1026;Alangium;Chinense;Alangiaceae;0.4017;7.936619198;8.33137268;10.1;11.85;0.011028783;0.068929895;1;
Kahuzi;KBPL1;1027;Macaranga;Spinosa;Euphorbiaceae;0.3818;14.33250251;14.45205537;24.8;26.91;0.056874592;0.355466199;1;Onedeadbranchandoneliving
Kahuzi;KBPL1;1028;Macaranga;Spinosa;Euphorbiaceae;0.3818;8.174885438;8.260138447;10.5;11.72;0.010788129;0.067425805;1;
Kahuzi;KBPL1;1029;Dombeya;Goetzenii;Malvaceae;0.5;15.15066004;15.03504563;27.5;28.89;0.065552005;0.409700032;1;Hostoflias
Kahuzi;KBPL1;1030;Dombeya;Goetzenii;Malvaceae;0.5;18.96639123;18.71979538;44.5;45.17;0.160247432;1.001546449;1;
Kahuzi;KBPL1;1031;Neoboutonia;Macrocalyx;Euphorbiaceae;0.33;15.40692321;15.08905821;28.4;29.08;0.066417068;0.415106677;1;
Kahuzi;KBPL1;1032;Dombeya;Goetzenii;Malvaceae;0.5;17.09706748;17.19828975;35.1;37.52;0.110564716;0.691029478;1;Hostoflias
Kahuzi;KBPL1;1033;Dombeya;Goetzenii;Malvaceae;0.5;19.73681488;19.97638539;49.2;52.87;0.219537906;1.372111913;1;Hostofliasrotteninthemiddle
Kahuzi;KBPL1;1034;Dombeya;Goetzenii;Malvaceae;0.5;20.66281866;20.84878688;55.7;59.2;0.275254426;1.72034016;1;
Kahuzi;KBPL1;1035;Dombeya;Goetzenii;Malvaceae;0.5;15.1217018;15.34604554;27.4;30;0.070686;0.4417875;1;
Kahuzi;KBPL1;1036;Millettia;Dura;Fabaceae;0.6967;12.35375015;12.20282507;19.2;20.32;0.032429354;0.202683466;1;Hostoflias
Kahuzi;KBPL1;1037;Millettia;Dura;Fabaceae;0.6967;7.996668776;7.76052545;10.2;10.83;0.00921187;0.057574189;1;Hostoflias
Kahuzi;KBPL1;1038;Dombeya;Goetzenii;Malvaceae;0.5;9.240705622;8.989735679;12.4;13.09;0.01345768;0.084110499;1;
Kahuzi;KBPL1;1039;Dombeya;Goetzenii;Malvaceae;0.5;18.57168357;18.31925101;42.3;43;0.14522046;0.907627875;1;Hostoflias
Kahuzi;KBPL1;1040;Dombeya;Goetzenii;Malvaceae;0.5;13.53577657;13.13576336;22.4;22.87;0.041079318;0.256745738;1;
Kahuzi;KBPL1;1041;Agauria;Salicifolia;Ericaceae;0.4731;24.78492136;24.8055465;108;108.9;0.931422353;5.821389709;1;
Kahuzi;KBPL1;1042;Allophylus;Kivuensis;Sapindaceae;0.5178;10.54542598;9.996311908;15;15.13;0.017979133;0.112369583;1;
Kahuzi;KBPL1;1043;Albizia;Adianthifolia;Fabaceae;0.5075;8.860122003;9.138417575;11.7;13.38;0.014060576;0.087878602;1;
Kahuzi;KBPL1;1044;Allophylus;Kivuensis;Sapindaceae;0.5178;9.812617948;9.504285304;13.5;14.11;0.015636694;0.097729335;1;
Kahuzi;KBPL1;1045;Allophylus;Kivuensis;Sapindaceae;0.5178;10.68595442;10.53496436;15.3;16.3;0.020867293;0.130420579;1;
Kahuzi;KBPL1;1046;Allophylus;Kivuensis;Sapindaceae;0.5178;9.079246074;8.755129449;12.1;12.64;0.012548304;0.078426902;1;
Kahuzi;KBPL1;1047;Lindackeria;Kivuensis;Flacourtiaceae;0.56;8.748869202;8.293069676;11.5;11.78;0.01089887;0.068117938;1;
