plotID,P_avail_mg_g,K_avail_mg_g
KBPL1,-0.00392132,0.653958166
KBPL1,-0.00603353,0.631711233
KBPL1,-0.00120806,0.576856318
KBPL1,-0.01469027,0.72284937
KBPL1,-0.01427755,0.707522837
KBPL1,0.00518051,0.722771174
KBPL1,-0.00118338,0.729965261
KBPL1,-0.01229404,0.730747227
KBPL1,-0.00737095,0.705567922
KBPL1,-0.00236643,0.862391203
KBPL1,-0.02466454,0.904812859
KBPL1,-0.00479002,0.647272357
KBPL1,-0.01834888,0.794281965
KBPL1,-0.00437388,1.028441683
KBPL1,-0.00971549,0.869898077
KBPL1,-0.01242559,0.768477087
KBPL1,-0.0139814,0.87005447
KBPL1,-0.01215878,0.858012194
KBPL1,0.00355338,0.66306807
KBPL1,-0.00426865,0.613686917
KBPL10,0.02158978,1.490974572
KBPL10,0.03422978,1.21642631
KBPL10,-0.00237334,1.237304802
KBPL10,0.0189133,1.546963338
KBPL10,0.02255645,1.320896967
KBPL10,0.02287941,1.668402658
KBPL10,0.02831323,1.808765555
KBPL10,0.03555395,1.996711083
KBPL10,0.01674686,1.491326457
KBPL10,0.00776036,1.436393345
KBPL10,0.02476201,1.38752047
KBPL10,-0.00377311,1.394558164
KBPL10,0.02836886,2.655986617
KBPL10,0.05075527,2.830795117
KBPL10,-0.00787418,1.394636361
KBPL10,-0.00025942,1.419463782
KBPL10,0.02859427,2.119401548
KBPL10,0.03376184,1.772208644
KBPL10,0.03857893,2.409041755
KBPL10,0.0361325,1.593568511
KBPL11,0.06377989,1.740265333
KBPL11,0.07379959,1.756100145
KBPL11,0.07572092,1.499419805
KBPL11,0.05302852,1.435259495
KBPL11,0.08274528,1.779637321
KBPL11,0.07038682,1.81807095
KBPL11,0.08398056,1.579766812
KBPL11,0.0340882,1.895290093
KBPL11,0.09287193,1.78839534
KBPL11,0.10496898,2.119557941
KBPL12,0.05229028,1.051040501
KBPL12,0.05339479,1.213963117
KBPL12,0.10005634,1.000408202
KBPL12,0.05880344,0.821768069
KBPL12,0.02632064,0.953490242
KBPL12,0.05344589,1.289344639
KBPL12,0.02818298,0.863916037
KBPL12,0.03423498,1.101281816
KBPL12,0.03903722,1.120009902
KBPL12,0.03183184,1.300839539
KBPL2,0.00923034,0.812306281
KBPL2,-0.01246918,0.638827124
KBPL2,-0.01268649,0.937420841
KBPL2,0.01373517,0.865284477
KBPL2,-0.01155162,0.945905172
KBPL2,0.00163181,0.847181964
KBPL2,-0.00411948,0.969559643
KBPL2,-0.01534349,0.995716406
KBPL2,-0.00523923,0.488767848
KBPL2,0.00845658,0.555391352
KBPL3,-0.01312842,0.836899112
KBPL3,-0.00958037,0.766052992
KBPL3,-0.01737566,0.988092238
KBPL3,-0.00858184,1.056592459
KBPL3,-0.00831101,1.067735475
KBPL3,-0.0037422,0.998687877
KBPL3,-0.02332583,0.949306724
KBPL3,-0.03222607,1.110118032
KBPL3,-0.01588535,1.091116258
KBPL3,0.01570069,0.918028084
KBPL4,-0.00067542,0.732623945
KBPL4,0.00283907,0.634839097
KBPL4,-0.00323371,0.725742645
KBPL4,-0.00893611,0.763120619
KBPL4,-0.03001008,0.638983517
KBPL4,0.0041539,0.614156096
KBPL4,0.00345672,0.74470532
KBPL4,-0.01381872,0.575526976
KBPL4,-0.00637304,0.490214485
KBPL4,-0.01481831,0.857073834
KBPL4,-0.01817207,0.879516259
KBPL4,-0.00551085,0.647780634
KBPL4,-0.01106011,0.346645528
KBPL4,-0.02047461,0.825130523
KBPL4,-0.00349957,0.595467109
KBPL4,-0.0255212,0.493303251
KBPL4,-0.00051303,0.655170213
KBPL4,-0.01272598,0.786618698
KBPL4,-0.0108318,0.82360569
KBPL5,0.00862074,0.769845527
KBPL5,0.00041428,0.779385512
KBPL5,0.01285522,0.8095694
KBPL5,-0.00625889,0.770744788
KBPL5,0.0010132,0.81277546
KBPL5,-0.00611841,0.943207389
KBPL5,0.02315195,1.002167626
KBPL5,-0.01422392,0.981758313
KBPL5,-0.01863991,1.035283886
KBPL5,-0.00728453,0.953060161
KBPL6,0.0118063,1.027034144
KBPL6,0.02443544,1.303771912
KBPL6,0.03417368,1.920664889
KBPL6,-0.00882968,1.47607812
KBPL6,0.01003328,1.880510935
KBPL6,-0.0128731,1.410314779
KBPL6,0.00818132,1.298728231
KBPL6,0.01693312,1.565574129
KBPL6,-0.00347059,1.290752178
KBPL6,-0.00875025,1.329967773
KBPL7,0.06072407,1.518226087
KBPL7,0.07958957,1.771895858
KBPL7,0.08094713,1.963399331
KBPL7,0.05929262,2.121082775
KBPL7,0.06293202,1.357727566
KBPL7,0.06180787,1.562485363
