plotID,region,CN,CP,NP,NK,type
KBPL10,Mafic,27.18160547,267.7990687,9.852216749,2.466367713,Litterfall
KBPL11,Mafic,38.93051945,437.7846767,11.24528218,2.521452588,Litterfall
KBPL12,Mafic,55.40897607,555.0787015,10.01784803,5.251321912,Litterfall
KBPL6,Mafic,34.55107135,506.7183904,14.6657794,5.270024713,Litterfall
NPL1,Sedim,23.72600498,2185.780784,92.12595148,22.08443756,Litterfall
NPL10,Sedim,55.72013663,2671.157416,47.9388167,6.826223503,Litterfall
NPL11,Sedim,65.86056085,1963.205352,29.80851251,5.409163143,Litterfall
NPL12,Sedim,71.12657542,888.3052861,12.48907713,3.121279379,Litterfall
NPL2,Sedim,35.97595104,2450.966599,68.12791677,14.38570668,Litterfall
NPL3,Sedim,29.30498574,2655.64173,90.6208163,20.01403065,Litterfall
NPL4,Sedim,56.25438258,2877.291378,51.14786165,8.273733199,Litterfall
NPL6,Sedim,30.55851802,2135.012938,69.86637691,3.697397356,Litterfall
NPL7,Sedim,33.15971221,2402.948725,72.46591013,13.07795674,Litterfall
NPL8,Sedim,31.18961404,2718.752518,87.16852073,13.28323469,Litterfall
NPL9,Sedim,56.896427,3764.715305,66.1678686,7.710317459,Litterfall
UPL1,Felsic,35.4384018,968.8504198,27.33899867,3.676909777,Litterfall
UPL10,Felsic,33.78503906,889.541867,26.32946096,3.001426743,Litterfall
UPL11,Felsic,28.66366726,936.9353278,32.68721058,3.400295627,Litterfall
UPL12,Felsic,36.99921516,1495.471937,40.41901782,3.367919383,Litterfall
UPL2,Felsic,38.82642308,756.2307664,19.47721954,3.277584277,Litterfall
UPL3,Felsic,37.6209439,765.2218608,20.3403153,2.674973112,Litterfall
UPL4,Felsic,46.16487636,1458.870909,31.60131736,3.44758165,Litterfall
UPL5,Felsic,38.12749136,1160.1441,30.4280208,3.298777942,Litterfall
UPL6,Felsic,29.75585421,863.8841461,29.03240956,3.586870347,Litterfall
UPL7,Felsic,32.89959467,1740.199263,52.89424629,4.882250742,Litterfall
UPL8,Felsic,46.39499901,1755.992207,37.84873897,3.804678255,Litterfall
UPL9,Felsic,44.63845096,1876.89823,42.04667029,4.800960797,Litterfall
KBPL10,Mafic,13.44276498,155.5147232,11.56865596,1.977935626,Fresh leaves
KBPL11,Mafic,16.49288014,163.2532113,9.898405247,1.809110309,Fresh leaves
KBPL12,Mafic,19.03837161,297.4476952,15.6235891,2.322507954,Fresh leaves
KBPL6,Mafic,14.47755766,211.1550789,14.58499313,2.991824606,Fresh leaves
NPL1,Sedim,26.45681303,500.4155217,18.91442938,2.582949901,Fresh leaves
NPL10,Sedim,27.43715749,591.1717684,21.54639265,3.02177432,Fresh leaves
NPL11,Sedim,23.80388957,463.0306212,19.45188915,2.124086439,Fresh leaves
NPL12,Sedim,29.46556608,564.3240231,19.15198308,2.54706382,Fresh leaves
NPL2,Sedim,25.04838039,529.1905187,21.12673596,3.213385267,Fresh leaves
NPL3,Sedim,22.68814845,393.9636904,17.36429446,1.857234709,Fresh leaves
