plotID,region,CN,type
KBPL10,Mafic,27.18160547,Litterfall
KBPL11,Mafic,38.93051945,Litterfall
KBPL12,Mafic,55.40897607,Litterfall
KBPL6,Mafic,34.55107135,Litterfall
NPL1,Sedim,23.72600498,Litterfall
NPL10,Sedim,55.72013663,Litterfall
NPL11,Sedim,65.86056085,Litterfall
NPL12,Sedim,71.12657542,Litterfall
NPL2,Sedim,35.97595104,Litterfall
NPL3,Sedim,29.30498574,Litterfall
NPL4,Sedim,56.25438258,Litterfall
NPL6,Sedim,30.55851802,Litterfall
NPL7,Sedim,33.15971221,Litterfall
NPL8,Sedim,31.18961404,Litterfall
NPL9,Sedim,56.896427,Litterfall
UPL1,Felsic,35.4384018,Litterfall
UPL10,Felsic,33.78503906,Litterfall
UPL11,Felsic,28.66366726,Litterfall
UPL12,Felsic,36.99921516,Litterfall
UPL2,Felsic,38.82642308,Litterfall
UPL3,Felsic,37.6209439,Litterfall
UPL4,Felsic,46.16487636,Litterfall
UPL5,Felsic,38.12749136,Litterfall
UPL6,Felsic,29.75585421,Litterfall
UPL7,Felsic,32.89959467,Litterfall
UPL8,Felsic,46.39499901,Litterfall
UPL9,Felsic,44.63845096,Litterfall
KBPL10,Mafic,13.44276498,Fresh leaves
KBPL11,Mafic,16.49288014,Fresh leaves
KBPL12,Mafic,19.03837161,Fresh leaves
KBPL6,Mafic,14.47755766,Fresh leaves
NPL1,Sedim,26.45681303,Fresh leaves
NPL10,Sedim,27.43715749,Fresh leaves
NPL11,Sedim,23.80388957,Fresh leaves
NPL12,Sedim,29.46556608,Fresh leaves
NPL2,Sedim,25.04838039,Fresh leaves
NPL3,Sedim,22.68814845,Fresh leaves
NPL4,Sedim,26.23810088,Fresh leaves
NPL6,Sedim,22.32221186,Fresh leaves
NPL7,Sedim,24.95684467,Fresh leaves
NPL8,Sedim,22.23409653,Fresh leaves
NPL9,Sedim,20.85497431,Fresh leaves
UPL1,Felsic,19.37799831,Fresh leaves
UPL10,Felsic,20.11723946,Fresh leaves
UPL11,Felsic,14.94223163,Fresh leaves
UPL12,Felsic,18.04263011,Fresh leaves
UPL2,Felsic,20.08232119,Fresh leaves
UPL3,Felsic,19.45272121,Fresh leaves
UPL4,Felsic,14.97108699,Fresh leaves
UPL5,Felsic,18.23463922,Fresh leaves
UPL6,Felsic,18.14681988,Fresh leaves
UPL7,Felsic,16.79924302,Fresh leaves
UPL8,Felsic,15.25987522,Fresh leaves
UPL9,Felsic,16.00847306,Fresh leaves
KBPL10,Mafic,9.024146054,Mineral-soil
KBPL11,Mafic,10.32836005,Mineral-soil
KBPL12,Mafic,10.41432985,Mineral-soil
KBPL1,Mafic,9.603804579,Mineral-soil
KBPL2,Mafic,12.90378695,Mineral-soil
KBPL3,Mafic,12.84492056,Mineral-soil
KBPL4,Mafic,10.57209678,Mineral-soil
KBPL5,Mafic,9.287694352,Mineral-soil
KBPL6,Mafic,9.118071656,Mineral-soil
KBPL7,Mafic,9.19698776,Mineral-soil
KBPL8,Mafic,10.59111604,Mineral-soil
KBPL9,Mafic,9.757035095,Mineral-soil
NPL10,Sedim,17.71770593,Mineral-soil
NPL11,Sedim,17.12464419,Mineral-soil
NPL12,Sedim,16.26531726,Mineral-soil
