plotID,region,sampleID,BD_spec,clay_spec,pH_KCL_spec,TC_bulk_spec,TN_bulk_spec,CN_spec,P_avail_spec,ECEC_spec,exch_bases_Mg_spec,exch_bases_Ca_spec,exch_bases_K_spec,exch_acidity_Al_spec,Al_py_extract_spec,Al_ox_extract_spec,Al_dcb_extract_spec,Fe_py_extract_spec,Fe_ox_extract_spec,Fe_dcb_extract_spec,Ca_ICPOES_spec,K_ICPOES_spec,Mg_ICPOES_spec,P_ICPOES_spec,Cconc_bulk_spec,Nconc_bulk_spec
KBPL10,Mafic,KBPL10C1,0.9405,45.78562,5.49096,6.02652,0.64722,8.67868,50.75527,25.3714,4.19685,18.04284,0.72402,-0.52835,0.17545,0.60118,1.05329,0.12298,1.53701,4.84706,0.42266,0.16286,0.42926,0.18082544,6.33259,0.66521
KBPL11,Mafic,KBPL11C1,0.73351,23.18925,4.26801,7.50861,0.73615,18.6722,34.0882,15.82846,2.78939,8.79624,0.48475,1.68192,0.46347,0.7103,0.66645,0.70962,2.8092,4.24861,0.33537,0.15339,0.47645,0.334981127,8.02061,0.75886
KBPL12,Mafic,KBPL12C1,0.73248,25.26717,3.45429,8.24228,0.74309,4.35552,53.39479,12.52114,1.81259,4.57623,0.31049,4.4956,0.48186,0.6276,0.64984,0.67475,2.17984,5.06708,0.18913,0.11838,0.33763,0.274478546,8.86934,0.75356
KBPL1,Mafic,KBPL1C1,1.02567,54.77325,3.61546,4.24123,0.42514,6.56065,-4.37388,10.07545,1.39293,2.90038,0.26304,4.00328,0.2518,0.41439,2.24739,0.21869,1.49878,7.97691,0.07873,0.06096,0.19465,0.10337828,4.39889,0.40989
KBPL1,Mafic,KBPL1PC1,0.96861,50.87597,3.53055,4.81051,0.46338,17.4035,-18.34888,8.97708,1.23553,2.02669,0.20315,4.03356,0.2841,0.40544,1.89345,0.31349,1.65257,7.71783,0.05474,0.05095,0.18701,0.113196377,5.02741,0.45861
KBPL2,Mafic,KBPL2C1,0.63241,46.1143,2.81856,8.589,0.76348,9.72762,8.45658,9.81239,1.06353,0.46444,0.14205,6.392,0.48603,0.58249,1.75762,0.57526,2.00948,8.24988,0.00824,0.04703,0.20246,0.174349897,9.42411,0.78738
KBPL3,Mafic,KBPL3C1,0.78737,53.8036,3.13801,7.67998,0.71031,6.99023,15.70069,12.80057,1.46383,2.79616,0.2348,5.76141,0.42653,0.5885,2.25257,0.44408,1.57655,8.11704,0.04057,0.05529,0.186,0.134906022,8.41605,0.72558
KBPL4,Mafic,KBPL4C1,0.95059,53.35428,3.38343,5.67581,0.52264,6.99023,-0.51303,9.93692,0.96064,1.81795,0.16757,5.02151,0.33266,0.42212,1.38271,0.4238,1.66023,7.38255,0.01471,0.04762,0.15431,0.114404417,5.89318,0.51829
KBPL5,Mafic,KBPL5C1,1.01581,58.29387,3.7755,4.07924,0.4008,13.29464,23.15195,9.60359,1.499,3.25193,0.25632,3.67992,0.22451,0.41907,2.62893,0.18001,1.87032,8.13857,0.10867,0.07599,0.26131,0.156629847,4.08858,0.39278
KBPL6,Mafic,KBPL6C1,1.02082,48.36181,4.75653,5.66229,0.61153,4.95294,34.17368,19.0153,2.88224,12.1337,0.49124,1.27185,0.23301,0.51446,1.51063,0.30222,1.73823,5.12097,0.29889,0.13818,0.35931,0.192897551,6.00439,0.63233
KBPL7,Mafic,KBPL7C1,1.11297,56.06247,4.63075,3.99275,0.38471,8.26701,80.94713,16.41796,3.23819,9.80685,0.50217,0.91672,0.18028,0.62587,4.75207,0.00114,1.49565,8.16765,0.24634,0.11354,0.34077,0.155147231,3.92188,0.39702
KBPL8,Mafic,KBPL8C1,1.01164,56.52124,3.71295,4.86781,0.46502,8.98211,7.98382,11.83551,1.65763,4.33959,0.27916,3.8611,0.26523,0.50701,3.03462,0.20498,1.60461,8.57777,0.09394,0.0719,0.22103,0.131352458,5.13733,0.46461
KBPL9,Mafic,KBPL9C1,1.02577,54.26255,3.87911,4.18293,0.40709,12.48292,8.81716,11.37478,2.21662,4.71509,0.3506,3.17005,0.18823,0.41627,3.17345,0.03961,1.39193,8.02855,0.12879,0.07344,0.24799,0.098705476,4.2383,0.39874
NPL10,Sedim,NPL10C1,1.24877,18.07167,3.28968,5.67933,0.35642,25.72266,29.20304,6.60593,0.67512,1.39148,0.16149,3.3811,0.13307,-0.07579,0.00271,0.08376,0.07772,-0.91154,0.10926,0.09021,0.16272,0.039647716,5.71169,0.34482
NPL11,Sedim,NPL11C1,0.38276,8.0265,2.79948,10.68034,0.69431,21.70419,3.65075,8.91064,0.83943,1.45396,0.18309,5.74287,0.2299,-0.13646,0.17742,0.19127,-0.11457,-0.1109,0.08189,0.05835,0.18384,0.019321179,11.09169,0.72221
NPL12,Sedim,NPL12C1,1.07897,19.06812,3.37347,5.05426,0.38042,16.31044,-18.08029,8.41598,1.44349,3.07673,0.37403,3.13262,-0.05369,-0.17536,0.18155,-0.41898,-0.66572,0.71203,0.17488,0.07076,0.16481,-0.099804605,5.44315,0.36954
NPL1,Sedim,NPL1C1,0.86251,35.82704,3.19452,7.35743,0.50756,27.65422,0.43524,7.68625,-0.00477,-1.41224,-0.016,6.11506,0.48717,0.30559,0.99968,0.94757,1.59332,4.00514,-0.06714,0.02276,0.07266,0.113242567,7.38027,0.53005
NPL2,Sedim,NPL2C1,0.835,49.04306,3.21468,6.49487,0.40754,20.66815,5.87563,9.35513,0.28956,-0.2056,0.04002,6.28854,0.42015,0.42729,0.27819,0.77586,1.57141,7.02495,-0.04342,0.02362,0.05749,0.122544308,6.25501,0.41379
NPL3,Sedim,NPL3C1,0.86914,43.56125,3.43186,6.68801,0.41714,7.45992,7.97396,9.85663,0.84056,0.42784,0.17263,6.48614,0.37678,0.38786,1.16021,0.67354,0.86669,5.91749,0.03665,0.04858,0.08495,0.093079972,6.62695,0.43956
NPL4,Sedim,NPL4C1,1.31749,39.61927,3.04145,4.18404,0.24886,33.67467,-12.58427,5.75973,0.07227,-0.27733,0.15874,4.56592,0.16101,0.14628,-0.06101,0.3753,1.00764,3.64245,0.11771,0.11045,0.11861,0.104293667,3.96961,0.22851
NPL5,Sedim,NPL5C1,1.38747,46.43147,3.21658,3.59617,0.21686,19.84385,-7.97523,6.8997,-0.01795,-0.10858,0.1171,4.41269,0.20511,0.18655,-0.09091,0.40485,0.83622,3.97543,0.05751,0.08908,0.06622,0.109437924,3.47093,0.19507
NPL6,Sedim,NPL6C1,1.28804,21.60514,3.27764,3.41041,0.23298,8.89907,15.84743,8.90836,0.43262,1.80312,0.18076,3.90826,0.23544,0.08657,-0.12033,0.46101,0.691,2.39041,0.09861,0.08908,0.13915,0.052295619,3.27078,0.22769
NPL7,Sedim,NPL7C1,0.97453,20.38616,3.22063,6.02576,0.37657,23.62829,22.35179,6.89816,0.0469,-1.3448,0.09118,5.67622,0.35919,0.18981,0.58428,0.7274,1.01664,3.62892,-0.0528,0.02253,0.02728,0.031947027,5.92054,0.37919
NPL8,Sedim,NPL8C1,0.79058,30.64066,2.98927,6.48754,0.47233,-0.4597,10.55019,7.66069,0.54588,-1.42629,0.19001,7.04549,0.4534,0.39651,1.96626,0.76232,1.49992,6.45356,0.0063,0.04584,0.13077,0.071185652,6.48198,0.46395
NPL9,Sedim,NPL9C1,1.06465,47.96176,3.36307,4.36958,0.30126,5.00951,-16.5561,8.12675,0.37004,-0.0179,0.22777,6.04873,0.34204,0.35754,2.28229,0.53298,1.09726,6.46478,0.05425,0.06217,0.1014,0.069609734,4.47283,0.29289
UPL10,Felsic,UPL10C1,1.3851,28.73397,5.09941,3.36496,0.32048,3.1663,15.61048,15.17773,3.41544,11.23129,0.62992,0.49007,0.01754,0.15545,-0.2111,0.00195,0.49629,0.35613,0.42218,0.17442,0.36606,0.091469415,3.3828,0.33458
UPL11,Felsic,UPL11C1,1.38692,36.2975,5.66176,2.87738,0.31787,11.9335,38.90567,17.86988,3.29392,14.80762,0.68188,-0.54036,0.01556,0.23588,0.17654,-0.10742,0.50652,1.48181,0.43067,0.1695,0.35265,0.086812149,3.09286,0.32561
UPL12,Felsic,UPL12C1,1.40389,24.52718,5.32503,3.06873,0.24759,11.33193,60.03856,17.92182,2.96231,13.92618,0.59564,-0.13277,0.00829,0.05973,-0.11002,-0.03341,-0.01967,0.14986,0.40295,0.16861,0.32031,0.033730862,3.03743,0.26074
UPL1,Felsic,UPL1C1,1.21392,37.0447,6.17283,4.68098,0.48346,17.6227,48.05213,22.75493,3.50836,19.61753,0.65109,-1.17785,0.05508,0.23079,-0.21918,-0.01774,0.45505,2.17863,0.35766,0.14364,0.30043,0.039455171,4.85213,0.50676
UPL2,Felsic,UPL2C1,1.34895,33.674,5.95925,3.88047,0.38994,14.36325,49.72349,21.69711,3.38336,17.96548,0.65874,-0.3494,0.05441,0.19539,-0.4106,0.00246,0.30304,1.44138,0.37696,0.15867,0.30823,0.034836511,4.04259,0.40728
UPL3,Felsic,UPL3C1,1.21646,32.91429,6.1353,4.45038,0.46743,12.9178,71.04446,23.17085,3.76341,19.88467,0.76171,-0.70868,0.05965,0.29692,-0.65165,-0.04009,0.62425,1.64551,0.47653,0.18861,0.4103,0.09574591,4.79204,0.48731
UPL4,Felsic,UPL4C1,1.41321,47.15165,5.21383,2.83776,0.31485,8.05115,17.52762,16.93331,2.69164,12.41167,0.50946,0.46404,0.05879,0.23462,1.10384,-0.05559,0.3332,3.73118,0.25443,0.11315,0.21331,0.035442619,2.98916,0.31762
UPL5,Felsic,UPL5C1,1.38403,40.11519,5.5441,3.1343,0.34325,14.2871,24.27136,17.41611,2.95233,13.96374,0.56457,-0.28538,0.04379,0.20672,0.6849,-0.05448,0.35087,2.62296,0.29817,0.1252,0.24624,0.031635493,3.30929,0.35409
UPL6,Felsic,UPL6C1,1.53529,40.24508,5.54049,2.13504,0.21963,16.15091,28.12907,16.72364,2.58595,13.10828,0.49727,-0.47585,0.01358,0.11525,0.29504,-0.03349,0.1044,2.00259,0.25917,0.11241,0.1904,-0.000232977,2.06747,0.23021
